|      t |        U |        B |        V |        R |
| 0.1324 |  12.8458 |   9.5152 |   6.3575 |   4.3218 |
|  0.133 |  12.9956 |   9.6643 |   6.4935 |   4.4389 |
| 0.1336 |  13.1458 |   9.8141 |   6.6304 |   4.5567 |
| 0.1342 |   13.296 |   9.9644 |   6.7681 |   4.6752 |
| 0.1348 |  13.4346 |  10.1202 |   6.9089 |   4.8087 |
| 0.1354 |  13.5749 |  10.2762 |   7.0505 |   4.9415 |
|  0.136 |  13.7257 |  10.4284 |    7.191 |   5.0625 |
| 0.1366 |  13.8769 |  10.5816 |   7.3326 |   5.1843 |
| 0.1372 |  14.0283 |  10.7355 |   7.4751 |   5.3071 |
| 0.1379 |  14.1799 |  10.8899 |   7.6185 |   5.4305 |
| 0.1385 |  14.3314 |  11.0445 |   7.7624 |   5.5546 |
| 0.1391 |  14.4833 |  11.1996 |   7.9072 |   5.6794 |
| 0.1397 |  14.6356 |  11.3554 |    8.053 |   5.8051 |
| 0.1404 |  14.7883 |  11.5117 |   8.1997 |   5.9315 |
|  0.141 |  14.9412 |  11.6686 |   8.3474 |   6.0586 |
| 0.1416 |  15.0941 |  11.8257 |   8.4959 |   6.1864 |
| 0.1423 |  15.2468 |  11.9829 |    8.645 |   6.3149 |
| 0.1429 |  15.3995 |  12.1404 |   8.7949 |   6.4441 |
| 0.1436 |  15.5522 |  12.2982 |   8.9456 |   6.5743 |
| 0.1442 |  15.7051 |  12.4561 |   9.0972 |   6.7053 |
| 0.1449 |  15.8581 |  12.6142 |   9.2496 |   6.8371 |
| 0.1455 |  16.0113 |  12.7722 |   9.4029 |   6.9698 |
| 0.1462 |  16.1646 |    12.93 |   9.5569 |   7.1034 |
| 0.1468 |  16.3179 |  13.0871 |   9.7118 |   7.2377 |
| 0.1475 |  16.4712 |  13.2434 |   9.8673 |   7.3727 |
| 0.1482 |  16.6244 |  13.3984 |  10.0235 |   7.5086 |
| 0.1489 |  16.7775 |  13.5517 |  10.1804 |   7.6455 |
| 0.1495 |    16.93 |   13.702 |  10.3377 |   7.7832 |
| 0.1502 |  17.0821 |  13.8487 |  10.4953 |   7.9217 |
| 0.1509 |  17.2336 |  13.9911 |  10.6531 |    8.061 |
| 0.1516 |  17.3844 |  14.1279 |   10.811 |   8.2011 |
| 0.1522 |  17.5343 |  14.2581 |  10.9687 |    8.342 |
| 0.1529 |  17.6826 |  14.3775 |  11.1257 |   8.4837 |
| 0.1536 |  17.8285 |  14.4832 |   11.281 |   8.6261 |
| 0.1543 |  17.9727 |  14.5781 |   11.435 |    8.769 |
|  0.155 |  18.1143 |  14.6588 |  11.5869 |   8.9127 |
| 0.1557 |  18.2506 |  14.7153 |  11.7339 |    9.057 |
| 0.1564 |  18.3831 |  14.7561 |   11.877 |    9.202 |
| 0.1571 |  18.5115 |  14.7804 |  12.0157 |   9.3475 |
| 0.1578 |  18.6299 |  14.7749 |  12.1428 |   9.4935 |
| 0.1586 |  18.7393 |  14.7504 |  12.2585 |   9.6395 |
| 0.1593 |  18.8422 |   14.712 |   12.366 |   9.7858 |
|   0.16 |  18.9292 |   14.652 |  12.4525 |   9.9316 |
| 0.1607 |  19.0096 |  14.5825 |    12.53 |  10.0775 |
| 0.1615 |  19.0668 |  14.4942 |  12.5766 |  10.2218 |
| 0.1622 |  19.1196 |  14.4017 |   12.617 |  10.3663 |
| 0.1629 |  19.1419 |  14.2945 |  12.6179 |   10.507 |
| 0.1637 |  19.1592 |  14.1854 |  12.6124 |  10.6473 |
| 0.1644 |   19.149 |  14.0682 |  12.5742 |  10.7819 |
| 0.1651 |  19.1296 |  13.9491 |  12.5258 |  10.9135 |
| 0.1659 |  19.0902 |  13.8262 |  12.4559 |  11.0381 |
| 0.1666 |  19.1613 |  13.6418 |  12.2903 |  11.1343 |
| 0.1674 |  19.3262 |  13.4052 |  12.0435 |  11.2065 |
| 0.1681 |  19.3012 |  13.2541 |  11.9052 |  11.2773 |
| 0.1689 |  19.2219 |  13.1267 |  11.7968 |  11.3468 |
| 0.1697 |  19.1279 |  12.9987 |  11.6779 |  11.3842 |
| 0.1704 |  19.0304 |  12.8702 |  11.5568 |  11.4109 |
| 0.1712 |  18.9252 |  12.7415 |  11.4309 |   11.412 |
|  0.172 |  18.8157 |  12.6128 |  11.3027 |  11.3933 |
| 0.1728 |  18.7028 |  12.4838 |  11.1726 |  11.3598 |
| 0.1735 |  18.5855 |  12.3553 |  11.0406 |  11.2986 |
| 0.1743 |  18.4666 |  12.2266 |   10.908 |  11.2282 |
| 0.1751 |  18.3455 |  12.0983 |  10.7747 |  11.1417 |
| 0.1759 |  18.2229 |  11.9703 |  10.6412 |  11.0432 |
| 0.1767 |  18.0995 |  11.8424 |  10.5074 |  10.9386 |
| 0.1775 |  17.9753 |   11.715 |  10.3739 |  10.8245 |
| 0.1783 |  17.8506 |  11.5883 |  10.2409 |  10.7048 |
| 0.1791 |  17.7255 |  11.4623 |  10.1083 |  10.5812 |
| 0.1799 |  17.6004 |   11.337 |   9.9766 |  10.4548 |
| 0.1807 |  17.4755 |  11.2127 |   9.8459 |  10.3268 |
| 0.1816 |  17.3515 |  11.0903 |   9.7172 |  10.1981 |
| 0.1824 |  17.2285 |  10.9695 |   9.5901 |  10.0694 |
| 0.1832 |  17.1073 |  10.8512 |   9.4652 |    9.941 |
|  0.184 |  16.9907 |   10.738 |   9.3452 |   9.8153 |
| 0.1849 |  16.8764 |  10.6274 |   9.2277 |   9.6911 |
| 0.1857 |  16.7636 |  10.5187 |   9.1119 |   9.5675 |
| 0.1865 |  16.6523 |  10.4114 |   8.9972 |   9.4442 |
| 0.1874 |   16.543 |  10.3061 |   8.8839 |   9.3216 |
| 0.1882 |  16.4351 |   10.202 |   8.7717 |   9.1994 |
| 0.1891 |  16.3286 |  10.0992 |   8.6603 |   9.0778 |
| 0.1899 |  16.2238 |   9.9977 |   8.5501 |   8.9572 |
| 0.1908 |  16.1201 |   9.8972 |   8.4408 |   8.8373 |
| 0.1917 |  16.0174 |   9.7975 |   8.3322 |   8.7182 |
| 0.1925 |  15.9153 |   9.6986 |   8.2244 |   8.5999 |
| 0.1934 |  15.8141 |   9.6005 |   8.1177 |   8.4826 |
| 0.1943 |  15.7135 |   9.5029 |   8.0116 |   8.3662 |
| 0.1952 |  15.6135 |    9.406 |   7.9063 |   8.2507 |
|  0.196 |  15.5143 |   9.3097 |   7.8017 |    8.136 |
| 0.1969 |  15.4159 |   9.2141 |    7.698 |   8.0224 |
| 0.1978 |   15.319 |   9.1198 |   7.5956 |   7.9103 |
| 0.1987 |  15.2222 |   9.0255 |   7.4934 |   7.7983 |
| 0.1996 |  15.1269 |   8.9325 |   7.3924 |   7.6878 |
| 0.2005 |  15.0322 |     8.84 |   7.2919 |   7.5777 |
| 0.2014 |  14.9384 |   8.7482 |   7.1922 |   7.4684 |
| 0.2023 |  14.8458 |   8.6575 |   7.0935 |   7.3601 |
| 0.2032 |  14.7536 |   8.5671 |    6.995 |    7.252 |
| 0.2042 |  14.6634 |   8.4785 |   6.8984 |   7.1458 |
| 0.2051 |  14.5737 |   8.3903 |   6.8022 |     7.04 |
|  0.206 |  14.4856 |   8.3036 |   6.7075 |   6.9357 |
|  0.207 |  14.3984 |   8.2177 |   6.6137 |   6.8322 |
| 0.2079 |  14.3128 |   8.1332 |   6.5213 |   6.7301 |
| 0.2088 |  14.2283 |   8.0498 |     6.43 |   6.6293 |
| 0.2098 |  14.1449 |   7.9673 |   6.3398 |   6.5294 |
| 0.2107 |  14.0628 |    7.886 |   6.2508 |   6.4309 |
| 0.2117 |  13.9812 |    7.805 |   6.1622 |   6.3328 |
| 0.2126 |  13.9011 |   7.7254 |   6.0751 |   6.2364 |
| 0.2136 |   13.821 |   7.6458 |    5.988 |   6.1399 |
| 0.2146 |  13.7429 |    7.568 |   5.9028 |   6.0457 |
| 0.2155 |  13.6644 |   7.4899 |   5.8173 |    5.951 |
| 0.2165 |  13.5876 |   7.4132 |   5.7334 |   5.8583 |
| 0.2175 |  13.5107 |   7.3365 |   5.6495 |   5.7655 |
| 0.2185 |  13.4314 |   7.2788 |   5.5936 |   5.6941 |
| 0.2195 |  13.3512 |   7.2263 |   5.5455 |   5.6287 |
| 0.2205 |  13.2756 |   7.1589 |   5.4747 |   5.5464 |
| 0.2215 |  13.2019 |   7.0848 |   5.3939 |   5.4566 |
| 0.2225 |  13.1287 |   7.0112 |   5.3136 |   5.3676 |
| 0.2235 |  13.0557 |   6.9377 |   5.2335 |   5.2789 |
| 0.2245 |   12.983 |   6.8643 |   5.1537 |   5.1905 |
| 0.2255 |  12.9105 |   6.7911 |    5.074 |   5.1026 |
| 0.2265 |  12.8382 |   6.7181 |   4.9945 |   5.0148 |
| 0.2275 |  12.7661 |   6.6452 |   4.9152 |   4.9275 |
| 0.2286 |  12.6941 |   6.5724 |    4.836 |   4.8402 |
| 0.2296 |  12.6221 |   6.4997 |   4.7568 |   4.7531 |
| 0.2306 |  12.5502 |    6.427 |   4.6778 |   4.6662 |
| 0.2317 |  12.4786 |   6.3548 |   4.5993 |   4.5797 |
| 0.2327 |  12.4068 |   6.2823 |   4.5203 |   4.4929 |
| 0.2338 |  12.3356 |   6.2104 |   4.4422 |   4.4068 |
| 0.2348 |  12.2643 |   6.1382 |   4.3638 |   4.3205 |
| 0.2359 |  12.1919 |    6.071 |   4.2927 |   4.2449 |
|  0.237 |  12.1187 |   6.0067 |   4.2261 |   4.1761 |
|  0.238 |   12.046 |   5.9392 |   4.1549 |   4.1008 |
| 0.2391 |   11.974 |   5.8659 |   4.0755 |   4.0139 |
| 0.2402 |  11.9014 |   5.7926 |    3.996 |   3.9271 |
| 0.2413 |  11.8292 |   5.7199 |   3.9175 |   3.8415 |
| 0.2424 |  11.7573 |   5.6476 |   3.8396 |   3.7567 |
| 0.2435 |  11.6852 |   5.5755 |    3.762 |   3.6724 |
| 0.2446 |  11.6133 |   5.5037 |   3.6849 |   3.5887 |
| 0.2457 |   11.542 |   5.4327 |   3.6087 |   3.5057 |
| 0.2468 |  11.4712 |   5.3623 |   3.5332 |   3.4235 |
| 0.2479 |  11.3998 |   5.2924 |   3.4585 |   3.3424 |
|  0.249 |  11.3267 |   5.2261 |   3.3892 |   3.2693 |
| 0.2502 |  11.2533 |   5.1595 |   3.3196 |   3.1959 |
| 0.2513 |  11.1845 |   5.0914 |   3.2466 |   3.1162 |
| 0.2524 |  11.1156 |   5.0231 |   3.1732 |   3.0358 |
| 0.2536 |   11.048 |   4.9561 |   3.1011 |   2.9568 |
| 0.2547 |  10.9806 |   4.8892 |   3.0292 |   2.8779 |
| 0.2559 |  10.9143 |   4.8234 |   2.9583 |   2.7999 |
|  0.257 |  10.8483 |   4.7579 |   2.8878 |   2.7224 |
| 0.2582 |  10.7828 |   4.6929 |   2.8177 |   2.6453 |
| 0.2594 |  10.7183 |   4.6288 |   2.7486 |   2.5692 |
| 0.2605 |  10.6537 |   4.5647 |   2.6795 |    2.493 |
| 0.2617 |  10.5904 |   4.5018 |   2.6117 |   2.4183 |
| 0.2629 |  10.5268 |   4.4387 |   2.5437 |   2.3432 |
| 0.2641 |  10.4645 |    4.377 |   2.4771 |   2.2698 |
| 0.2653 |  10.4021 |    4.315 |   2.4104 |   2.1962 |
| 0.2665 |  10.3409 |   4.2545 |   2.3451 |   2.1242 |
| 0.2677 |    10.28 |   4.1941 |   2.2801 |   2.0524 |
| 0.2689 |  10.2188 |   4.1335 |   2.2149 |   1.9804 |
| 0.2701 |  10.1588 |   4.0742 |    2.151 |   1.9099 |
| 0.2713 |  10.0993 |   4.0154 |   2.0877 |   1.8399 |
| 0.2726 |  10.0395 |   3.9562 |   2.0241 |   1.7696 |
| 0.2738 |   9.9808 |   3.8981 |   1.9617 |   1.7007 |
|  0.275 |   9.9224 |   3.8404 |   1.8997 |   1.6322 |
| 0.2763 |   9.8637 |   3.7825 |   1.8374 |   1.5635 |
| 0.2775 |   9.8058 |   3.7254 |   1.7763 |    1.496 |
| 0.2788 |   9.7482 |   3.6687 |   1.7154 |   1.4289 |
|   0.28 |   9.6903 |   3.6116 |   1.6543 |   1.3615 |
| 0.2813 |    9.633 |   3.5554 |   1.5943 |   1.2953 |
| 0.2826 |   9.5758 |   3.4994 |   1.5345 |   1.2295 |
| 0.2839 |   9.5184 |    3.443 |   1.4744 |   1.1633 |
| 0.2851 |   9.4618 |   3.3879 |   1.4158 |    1.099 |
| 0.2864 |   9.4053 |   3.3328 |   1.3573 |   1.0348 |
| 0.2877 |   9.3484 |   3.2775 |   1.2985 |   0.9702 |
|  0.289 |   9.2914 |    3.222 |   1.2395 |   0.9054 |
| 0.2903 |   9.2357 |   3.1681 |   1.1826 |   0.8431 |
| 0.2917 |   9.1799 |    3.114 |   1.1255 |   0.7804 |
|  0.293 |   9.1237 |   3.0596 |    1.068 |   0.7175 |
| 0.2943 |   9.0676 |   3.0052 |   1.0106 |   0.6547 |
| 0.2956 |   9.0123 |   2.9514 |   0.9539 |   0.5931 |
|  0.297 |   8.9569 |   2.8978 |   0.8974 |   0.5317 |
| 0.2983 |   8.9015 |   2.8446 |   0.8414 |   0.4709 |
| 0.2997 |   8.8458 |   2.7914 |   0.7855 |   0.4102 |
|  0.301 |    8.782 |   2.7339 |   0.7278 |   0.3502 |
| 0.3024 |    8.684 |    2.658 |   0.6618 |   0.2926 |
| 0.3038 |   8.5877 |   2.5763 |   0.5885 |   0.2217 |
| 0.3051 |   8.5286 |   2.5204 |   0.5314 |   0.1601 |
| 0.3065 |   8.4689 |   2.4642 |    0.473 |   0.0961 |
| 0.3079 |   8.4091 |   2.4094 |   0.4159 |   0.0341 |
| 0.3093 |   8.3495 |   2.3561 |   0.3607 |  -0.0256 |
| 0.3107 |     8.29 |    2.303 |   0.3061 |  -0.0847 |
| 0.3121 |   8.2317 |   2.2503 |   0.2522 |  -0.1425 |
| 0.3135 |    8.169 |   2.1944 |   0.1976 |  -0.1993 |
| 0.3149 |   8.1035 |   2.1354 |    0.141 |  -0.2571 |
| 0.3163 |   8.0466 |    2.083 |   0.0881 |  -0.3136 |
| 0.3178 |   7.9888 |   2.0301 |   0.0346 |  -0.3712 |
| 0.3192 |   7.9312 |   1.9775 |  -0.0187 |  -0.4284 |
| 0.3207 |   7.8734 |   1.9253 |  -0.0716 |  -0.4852 |
| 0.3221 |   7.8163 |   1.8738 |  -0.1238 |   -0.541 |
| 0.3236 |   7.7594 |   1.8226 |  -0.1756 |  -0.5965 |
|  0.325 |   7.7034 |    1.772 |  -0.2267 |   -0.651 |
| 0.3265 |   7.6442 |   1.7194 |  -0.2785 |  -0.7051 |
|  0.328 |   7.5798 |   1.6634 |  -0.3316 |  -0.7588 |
| 0.3295 |   7.5204 |   1.6102 |  -0.3842 |  -0.8147 |
|  0.331 |    7.464 |   1.5583 |  -0.4369 |  -0.8711 |
| 0.3325 |   7.4071 |   1.5062 |  -0.4891 |  -0.9268 |
|  0.334 |   7.3488 |   1.4541 |  -0.5407 |  -0.9818 |
| 0.3355 |   7.2927 |   1.4034 |  -0.5919 |  -1.0373 |
|  0.337 |   7.2366 |   1.3526 |  -0.6432 |  -1.0929 |
| 0.3385 |   7.1812 |    1.302 |  -0.6944 |  -1.1482 |
|   0.34 |   7.1263 |   1.2518 |  -0.7453 |  -1.2033 |
| 0.3416 |   7.0721 |   1.2019 |   -0.796 |   -1.258 |
| 0.3431 |    7.018 |   1.1522 |  -0.8465 |  -1.3127 |
| 0.3447 |   6.9643 |   1.1028 |  -0.8967 |  -1.3671 |
| 0.3462 |   6.9108 |   1.0534 |  -0.9469 |  -1.4214 |
| 0.3478 |   6.8572 |   1.0042 |  -0.9969 |  -1.4757 |
| 0.3494 |   6.8038 |    0.955 |  -1.0468 |  -1.5297 |
|  0.351 |   6.7506 |   0.9061 |  -1.0965 |  -1.5835 |
| 0.3525 |   6.6973 |   0.8571 |  -1.1462 |  -1.6374 |
| 0.3541 |   6.6444 |   0.8085 |  -1.1955 |  -1.6908 |
| 0.3557 |   6.5915 |   0.7599 |  -1.2448 |  -1.7442 |
| 0.3574 |   6.5388 |   0.7115 |  -1.2939 |  -1.7973 |
|  0.359 |   6.4863 |   0.6633 |  -1.3427 |  -1.8501 |
| 0.3606 |   6.4339 |   0.6152 |  -1.3914 |  -1.9029 |
| 0.3622 |   6.3819 |   0.5676 |  -1.4397 |  -1.9552 |
| 0.3639 |   6.3301 |     0.52 |   -1.488 |  -2.0074 |
| 0.3655 |   6.2786 |   0.4728 |  -1.5358 |  -2.0593 |
| 0.3672 |   6.2269 |   0.4253 |  -1.5839 |  -2.1114 |
| 0.3688 |   6.1381 |    0.351 |  -1.6463 |  -2.1667 |
| 0.3705 |   6.0847 |   0.3021 |  -1.6954 |  -2.2199 |
| 0.3722 |   6.0324 |   0.2543 |  -1.7436 |  -2.2721 |
| 0.3739 |   5.9791 |   0.2061 |  -1.7923 |  -2.3248 |
| 0.3755 |   5.9261 |   0.1579 |  -1.8409 |  -2.3771 |
| 0.3772 |   5.8745 |   0.1107 |  -1.8883 |  -2.4279 |
|  0.379 |   5.8235 |   0.0642 |  -1.9346 |  -2.4779 |
| 0.3807 |   5.7723 |   0.0177 |   -1.981 |  -2.5278 |
| 0.3824 |   5.7212 |  -0.0286 |  -2.0273 |  -2.5776 |
| 0.3841 |   5.6704 |  -0.0746 |  -2.0734 |  -2.6271 |
| 0.3859 |   5.6202 |  -0.1202 |  -2.1192 |  -2.6763 |
| 0.3876 |   5.5704 |  -0.1655 |  -2.1647 |  -2.7251 |
| 0.3894 |   5.5212 |  -0.2103 |  -2.2098 |  -2.7735 |
| 0.3911 |   5.4724 |  -0.2548 |  -2.2545 |  -2.8216 |
| 0.3929 |    5.424 |   -0.299 |  -2.2989 |  -2.8695 |
| 0.3947 |   5.3757 |   -0.343 |  -2.3431 |  -2.9171 |
| 0.3965 |   5.3277 |  -0.3869 |  -2.3872 |  -2.9646 |
| 0.3982 |     5.28 |  -0.4305 |   -2.431 |  -3.0118 |
| 0.4001 |   5.2325 |  -0.4738 |  -2.4746 |  -3.0587 |
| 0.4019 |   5.1855 |  -0.5169 |  -2.5178 |  -3.1053 |
| 0.4037 |   5.1388 |  -0.5596 |  -2.5608 |  -3.1516 |
| 0.4055 |   5.0927 |  -0.6019 |  -2.6034 |  -3.1974 |
| 0.4073 |   5.0117 |  -0.6664 |  -2.6593 |  -3.2469 |
| 0.4092 |   4.9641 |  -0.7096 |  -2.7023 |  -3.2933 |
|  0.411 |    4.916 |  -0.7525 |  -2.7455 |  -3.3401 |
| 0.4129 |   4.8706 |  -0.7944 |   -2.788 |  -3.3854 |
| 0.4148 |   4.8273 |  -0.8352 |  -2.8289 |   -3.429 |
| 0.4166 |    4.784 |  -0.8758 |  -2.8697 |  -3.4727 |
| 0.4185 |   4.7407 |  -0.9162 |  -2.9103 |   -3.516 |
| 0.4204 |    4.698 |  -0.9558 |  -2.9499 |  -3.5585 |
| 0.4223 |   4.6562 |  -0.9944 |  -2.9888 |  -3.6001 |
| 0.4242 |   4.6152 |  -1.0324 |  -3.0272 |  -3.6413 |
| 0.4262 |   4.5749 |  -1.0699 |  -3.0653 |  -3.6821 |
| 0.4281 |   4.5351 |  -1.1072 |  -3.1032 |  -3.7228 |
|   0.43 |   4.4958 |  -1.1442 |   -3.141 |  -3.7633 |
|  0.432 |   4.4566 |  -1.1812 |  -3.1787 |  -3.8037 |
| 0.4339 |   4.4177 |  -1.2181 |  -3.2162 |   -3.844 |
| 0.4359 |   4.3789 |  -1.2548 |  -3.2537 |  -3.8842 |
| 0.4379 |   4.3405 |  -1.2913 |  -3.2909 |  -3.9241 |
| 0.4398 |   4.3023 |  -1.3277 |  -3.3281 |  -3.9641 |
| 0.4418 |   4.2644 |   -1.364 |  -3.3652 |   -4.004 |
| 0.4438 |   4.2267 |  -1.4003 |  -3.4023 |   -4.044 |
| 0.4458 |   4.1892 |  -1.4365 |  -3.4393 |  -4.0839 |
| 0.4478 |   4.1518 |  -1.4726 |  -3.4761 |  -4.1236 |
| 0.4499 |   4.1147 |  -1.5086 |  -3.5129 |  -4.1632 |
| 0.4519 |   4.0437 |  -1.5644 |  -3.5636 |  -4.2085 |
|  0.454 |   4.0028 |  -1.6034 |  -3.6029 |  -4.2499 |
|  0.456 |   3.9618 |  -1.6427 |  -3.6425 |  -4.2923 |
| 0.4581 |   3.9225 |  -1.6804 |  -3.6808 |  -4.3332 |
| 0.4601 |   3.8867 |  -1.7158 |  -3.7167 |  -4.3709 |
| 0.4622 |   3.8503 |   -1.751 |  -3.7519 |  -4.4085 |
| 0.4643 |   3.8124 |  -1.7871 |  -3.7879 |   -4.447 |
| 0.4664 |   3.7745 |  -1.8232 |  -3.8241 |  -4.4857 |
| 0.4685 |   3.7374 |  -1.8587 |  -3.8598 |  -4.5238 |
| 0.4706 |   3.7011 |  -1.8935 |   -3.895 |  -4.5613 |
| 0.4728 |   3.6655 |  -1.9277 |  -3.9296 |  -4.5982 |
| 0.4749 |   3.6301 |  -1.9616 |  -3.9639 |  -4.6348 |
| 0.4771 |    3.595 |  -1.9953 |  -3.9981 |  -4.6712 |
| 0.4792 |   3.5599 |   -2.029 |  -4.0323 |  -4.7074 |
| 0.4814 |   3.5249 |  -2.0625 |  -4.0664 |  -4.7436 |
| 0.4836 |   3.4901 |  -2.0959 |  -4.1003 |  -4.7796 |
| 0.4858 |   3.4554 |   -2.129 |   -4.134 |  -4.8154 |
|  0.488 |    3.421 |   -2.162 |  -4.1675 |  -4.8511 |
| 0.4902 |   3.3867 |  -2.1949 |   -4.201 |  -4.8868 |
| 0.4924 |   3.3526 |  -2.2276 |  -4.2343 |  -4.9225 |
| 0.4946 |   3.3187 |  -2.2602 |  -4.2676 |  -4.9581 |
| 0.4968 |    3.285 |  -2.2926 |  -4.3007 |  -4.9936 |
| 0.4991 |   3.2516 |  -2.3248 |  -4.3337 |  -5.0289 |
| 0.5014 |   3.2185 |  -2.3568 |  -4.3666 |  -5.0641 |
| 0.5036 |   3.1538 |  -2.4074 |  -4.4134 |  -5.1066 |
| 0.5059 |   3.1183 |   -2.442 |  -4.4486 |  -5.1441 |
| 0.5082 |    3.083 |  -2.4763 |  -4.4834 |  -5.1819 |
| 0.5105 |    3.049 |  -2.5103 |  -4.5186 |  -5.2186 |
| 0.5128 |   3.0147 |  -2.5432 |  -4.5522 |  -5.2536 |
| 0.5151 |    2.976 |  -2.5779 |  -4.5866 |  -5.2875 |
| 0.5174 |   2.9444 |  -2.6085 |  -4.6172 |  -5.3204 |
| 0.5198 |   2.9113 |  -2.6399 |  -4.6486 |  -5.3542 |
| 0.5221 |    2.878 |  -2.6716 |  -4.6804 |  -5.3882 |
| 0.5245 |   2.8452 |  -2.7029 |  -4.7121 |  -5.4219 |
| 0.5269 |   2.8128 |  -2.7341 |  -4.7437 |  -5.4554 |
| 0.5293 |   2.7806 |  -2.7652 |  -4.7752 |  -5.4888 |
| 0.5317 |   2.7482 |  -2.7965 |  -4.8067 |  -5.5223 |
| 0.5341 |   2.7156 |  -2.8279 |  -4.8385 |   -5.556 |
| 0.5365 |   2.6827 |  -2.8595 |  -4.8704 |  -5.5897 |
| 0.5389 |   2.6496 |  -2.8912 |  -4.9022 |  -5.6234 |
| 0.5413 |   2.6164 |  -2.9227 |  -4.9338 |  -5.6567 |
| 0.5438 |   2.5833 |   -2.954 |  -4.9651 |  -5.6898 |
| 0.5463 |   2.5503 |  -2.9851 |  -4.9962 |  -5.7226 |
| 0.5487 |   2.5172 |  -3.0162 |  -5.0272 |  -5.7553 |
| 0.5512 |   2.4842 |  -3.0472 |  -5.0581 |  -5.7879 |
| 0.5537 |   2.4513 |  -3.0781 |  -5.0888 |  -5.8204 |
| 0.5562 |   2.4184 |   -3.109 |  -5.1195 |  -5.8529 |
| 0.5587 |   2.3857 |  -3.1398 |  -5.1501 |   -5.885 |
| 0.5613 |    2.353 |  -3.1706 |  -5.1805 |   -5.917 |
| 0.5638 |   2.3204 |  -3.2012 |  -5.2108 |  -5.9489 |
| 0.5663 |   2.2877 |  -3.2318 |  -5.2411 |  -5.9806 |
| 0.5689 |   2.2549 |  -3.2624 |  -5.2712 |  -6.0123 |
| 0.5715 |   2.2221 |  -3.2929 |  -5.3013 |  -6.0439 |
| 0.5741 |   2.1891 |  -3.3235 |  -5.3313 |  -6.0753 |
| 0.5767 |   2.1561 |  -3.3541 |  -5.3613 |  -6.1067 |
| 0.5793 |   2.1231 |  -3.3846 |  -5.3912 |   -6.138 |
| 0.5819 |   2.0901 |  -3.4151 |   -5.421 |  -6.1692 |
| 0.5845 |   2.0571 |  -3.4456 |  -5.4507 |  -6.2003 |
| 0.5872 |    2.024 |  -3.4762 |  -5.4804 |  -6.2313 |
