# MIST version number  = 1.2     
# MESA revision number =     7503
# photometric system   = UBV(RI)c, 2MASS, Kepler, Hipparcos, Gaia (Vega)                 
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2707  1.44513E-02     0.01     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =  1573   34
#   1                               2                               3                               4                               5                               6                               7                               8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22                  23                  24                  25                  26                  27                  28                  29                  30                  31                  32                  33                  34
EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V       Gaia_G_DR2Rev      Gaia_BP_DR2Rev      Gaia_RP_DR2Rev          Gaia_G_MAW        Gaia_BP_MAWb        Gaia_BP_MAWf         Gaia_RP_MAW                TESS         Gaia_G_EDR3        Gaia_BP_EDR3        Gaia_RP_EDR3               phase
  166         7.7999999999999998E+000         2.8941586285502735E-001         2.8941538968766417E-001         3.5298108031305833E+000         4.7490517336505436E+000        -1.7766573665707348E+000         1.0000000000000000E-002            0.052588           13.454304           12.442585           11.079709           10.008463            8.689672            7.364694            6.706002            6.497489           10.055231           11.724971           11.067567           12.675566           11.298442           10.057519           11.349947            8.974171           10.043093           11.305842           11.348842            8.952344            8.897771           10.062794           11.325402            8.951101           -1.000000
  167         7.7999999999999998E+000         3.0073931293664086E-001         3.0073881851482875E-001         3.5325530915004664E+000         4.7502450257880584E+000        -1.7491852839268474E+000         1.0000000000000000E-002            0.052589           13.347931           12.330538           10.969573            9.909238            8.611907            7.303807            6.643178            6.435596            9.963953           11.616114           10.962332           12.566098           11.186767            9.969728           11.239753            8.894113            9.954561           11.195717           11.238857            8.872397            8.819996            9.974292           11.215147            8.871333           -1.000000
  168         7.7999999999999998E+000         3.0697502458925890E-001         3.0697451832449690E-001         3.5340444603214372E+000         4.7509783149169404E+000        -1.7350575103810333E+000         1.0000000000000000E-002            0.052586           13.292471           12.271881           10.911879            9.857366            8.571769            7.272765            6.611084            6.404027            9.916379           11.559157           10.907237           12.508920           11.128230            9.924034           11.182027            8.852656            9.908473           11.138028           11.181247            8.831001            8.779769            9.928219           11.157387            8.830039           -1.000000
  169         7.7999999999999998E+000         3.0983628594385998E-001         3.0983577429278453E-001         3.5346913099968913E+000         4.7508262414244271E+000        -1.7282595635113933E+000         1.0000000000000000E-002            0.052588           13.266745           12.244828           10.885294            9.833283            8.552739            7.257624            6.595469            6.388647            9.894133           11.532835           10.881761           12.482488           11.101275            9.902592           11.155430            8.833045            9.886863           11.111447           11.154698            8.811416            8.760684            9.906615           11.130774            8.810498           -1.000000
  170         7.7999999999999998E+000         3.1098113109455316E-001         3.1098061736669180E-001         3.5349036965908360E+000         4.7502164307380896E+000        -1.7252018915121632E+000         1.0000000000000000E-002            0.052587           13.256173           12.233910           10.874602            9.823408            8.544467            7.250577            6.588245            6.381504            9.884832           11.522158           10.871423           12.471733           11.090459            9.893544           11.144734            8.824585            9.877763           11.100760           11.144019            8.802963            8.752390            9.897517           11.120075            8.802060           -1.000000
  171         7.7999999999999998E+000         3.1211539978615033E-001         3.1211488398259712E-001         3.5351254994880525E+000         4.7496424385730425E+000        -1.7221571171495871E+000         1.0000000000000000E-002            0.052586           13.245521           12.222882           10.863800            9.813457            8.536198            7.243592            6.581077            6.374421            9.875485           11.511379           10.860991           12.460882           11.079527            9.884462           11.133929            8.816118            9.868626           11.089961           11.133231            8.794505            8.744097            9.888383           11.109266            8.793617           -1.000000
  172         7.7999999999999998E+000         3.1323798729089913E-001         3.1323746941418773E-001         3.5353553178451893E+000         4.7491422668858769E+000        -1.7191703811468511E+000         1.0000000000000000E-002            0.052585           13.234919           12.211873           10.853010            9.803550            8.528043            7.236776            6.574074            6.367507            9.866207           11.500628           10.850584           12.450065           11.068604            9.875462           11.123137            8.807758            9.859567           11.079174           11.122455            8.786154            8.735917            9.879326           11.098468            8.785281           -1.000000
  173         7.7999999999999998E+000         3.1435007124739323E-001         3.1434955130333797E-001         3.5355953064909862E+000         4.7487230071780173E+000        -1.7162385302509531E+000         1.0000000000000000E-002            0.052584           13.224334           12.200842           10.842192            9.793652            8.519991            7.230131            6.567236            6.360762            9.856973           11.489863           10.840168           12.439243           11.057645            9.866518           11.112314            8.799487            9.850563           11.068358           11.111650            8.777892            8.727838            9.870325           11.087641            8.777037           -1.000000
  174         7.7999999999999998E+000         3.1544987718307960E-001         3.1544935518017536E-001         3.5358408092208640E+000         4.7484399534978348E+000        -1.7134379416321057E+000         1.0000000000000000E-002            0.052585           13.214027           12.190054           10.831602            9.784002            8.512243            7.223832            6.560747            6.354365            9.848007           11.479348           10.829990           12.428683           11.046913            9.857853           11.101719            8.791514            9.841836           11.057771           11.101075            8.769929            8.720060            9.861600           11.077041            8.769090           -1.000000
  175         7.7999999999999998E+000         3.1660549765400064E-001         3.1660497347876426E-001         3.5361255758542791E+000         4.7483388933853083E+000        -1.7105862137275967E+000         1.0000000000000000E-002            0.052585           13.203094           12.178522           10.820265            9.773758            8.504234            7.217526            6.554229            6.347956            9.838569           11.468128           10.819137           12.417435           11.035412            9.848768           11.090378            8.783240            9.832677           11.046436           11.089755            8.761665            8.712017            9.852445           11.065693            8.760847           -1.000000
