|            obsdate |      mag | e_mag | magsys | filter | depth_5sig |  zp | observatory | detected |
| 59567.672501423614 | 12.50941 |  0.05 |   Vega |      I |        nan | nan |        en12 |     True |
| 59567.672501423614 | 13.83466 |  0.05 |     AB |      u |        nan | nan |        en12 |     True |
| 59567.672501423614 | 12.72607 |  0.05 |     AB |      g |        nan | nan |        en12 |     True |
| 59567.672501423614 | 12.17948 |  0.05 |     AB |      r |        nan | nan |        en12 |     True |
| 59567.672501423614 | 12.80693 |  0.05 |     AB |      i |        nan | nan |        en12 |     True |
|    59568.010347225 | 14.12209 |  0.05 |   Vega |      U |        nan | nan |        SALT |     True |
|    59568.010347225 | 14.16084 |  0.05 |   Vega |      B |        nan | nan |        SALT |     True |
|    59568.010347225 | 13.36895 |  0.05 |   Vega |      V |        nan | nan |        SALT |     True |
|    59568.010347225 | 13.19326 |  0.05 |   Vega |      R |        nan | nan |        SALT |     True |
|    59568.010347225 | 13.28238 |  0.05 |   Vega |      I |        nan | nan |        SALT |     True |
|    59568.010347225 | 15.05131 |  0.05 |     AB |      u |        nan | nan |        SALT |     True |
|    59568.010347225 | 13.84554 |  0.05 |     AB |      g |        nan | nan |        SALT |     True |
|    59568.010347225 |  13.3497 |  0.05 |     AB |      r |        nan | nan |        SALT |     True |
|    59568.010347225 |  13.7802 |  0.05 |     AB |      i |        nan | nan |        SALT |     True |
|    59538.070399305 | 12.93602 |  0.05 |   Vega |      U |        nan | nan |        SALT |     True |
|    59538.070399305 | 13.09961 |  0.05 |   Vega |      B |        nan | nan |        SALT |     True |
|    59538.070399305 | 13.15082 |  0.05 |   Vega |      V |        nan | nan |        SALT |     True |
|    59538.070399305 | 12.89308 |  0.05 |   Vega |      R |        nan | nan |        SALT |     True |
|    59538.070399305 | 12.56854 |  0.05 |   Vega |      I |        nan | nan |        SALT |     True |
|    59538.070399305 | 13.92257 |  0.05 |     AB |      u |        nan | nan |        SALT |     True |
|    59538.070399305 | 13.07806 |  0.05 |     AB |      g |        nan | nan |        SALT |     True |
|    59538.070399305 | 13.11156 |  0.05 |     AB |      r |        nan | nan |        SALT |     True |
|    59538.070399305 |  13.0386 |  0.05 |     AB |      i |        nan | nan |        SALT |     True |
|   59630.4796390625 |  16.3114 |  0.05 |   Vega |      U |        nan | nan |        en12 |     True |
|   59630.4796390625 | 16.04218 |  0.05 |   Vega |      B |        nan | nan |        en12 |     True |
|   59630.4796390625 | 15.33486 |  0.05 |   Vega |      V |        nan | nan |        en12 |     True |
|   59630.4796390625 | 15.30804 |  0.05 |   Vega |      R |        nan | nan |        en12 |     True |
|   59630.4796390625 | 15.60884 |  0.05 |   Vega |      I |        nan | nan |        en12 |     True |
|   59630.4796390625 | 17.48012 |  0.05 |     AB |      u |        nan | nan |        en12 |     True |
|   59630.4796390625 | 15.66884 |  0.05 |     AB |      g |        nan | nan |        en12 |     True |
|   59630.4796390625 | 15.37344 |  0.05 |     AB |      r |        nan | nan |        en12 |     True |
|   59630.4796390625 |  15.8809 |  0.05 |     AB |      i |        nan | nan |        en12 |     True |
|  59559.08711292824 |      inf |  0.05 |   Vega |      U |        nan | nan |    GHTS_RED |     True |
|  59559.08711292824 | 13.24636 |  0.05 |   Vega |      B |        nan | nan |    GHTS_RED |     True |
|  59559.08711292824 | 12.56077 |  0.05 |   Vega |      V |        nan | nan |    GHTS_RED |     True |
|  59559.08711292824 | 12.65522 |  0.05 |   Vega |      R |        nan | nan |    GHTS_RED |     True |
|  59559.08711292824 | 13.21606 |  0.05 |   Vega |      I |        nan | nan |    GHTS_RED |     True |
|  59559.08711292824 |      inf |  0.05 |     AB |      u |        nan | nan |    GHTS_RED |     True |
|  59559.08711292824 | 12.76855 |  0.05 |     AB |      g |        nan | nan |    GHTS_RED |     True |
|  59559.08711292824 | 12.70988 |  0.05 |     AB |      r |        nan | nan |    GHTS_RED |     True |
|  59559.08711292824 | 13.45933 |  0.05 |     AB |      i |        nan | nan |    GHTS_RED |     True |
|    59560.992042825 | 13.43319 |  0.05 |   Vega |      U |        nan | nan |        SALT |     True |
|    59560.992042825 | 13.52426 |  0.05 |   Vega |      B |        nan | nan |        SALT |     True |
|    59560.992042825 | 13.11085 |  0.05 |   Vega |      V |        nan | nan |        SALT |     True |
|    59560.992042825 | 13.07223 |  0.05 |   Vega |      R |        nan | nan |        SALT |     True |
|    59560.992042825 | 13.24162 |  0.05 |   Vega |      I |        nan | nan |        SALT |     True |
|    59560.992042825 | 14.35639 |  0.05 |     AB |      u |        nan | nan |        SALT |     True |
|    59560.992042825 | 13.31973 |  0.05 |     AB |      g |        nan | nan |        SALT |     True |
|    59560.992042825 | 13.24306 |  0.05 |     AB |      r |        nan | nan |        SALT |     True |
|    59560.992042825 | 13.69154 |  0.05 |     AB |      i |        nan | nan |        SALT |     True |
|  59533.62505609954 | 14.74844 |  0.05 |   Vega |      U |        nan | nan |        en12 |     True |
|  59533.62505609954 |  14.6664 |  0.05 |   Vega |      B |        nan | nan |        en12 |     True |
|  59533.62505609954 | 14.39237 |  0.05 |   Vega |      V |        nan | nan |        en12 |     True |
|  59533.62505609954 | 14.33033 |  0.05 |   Vega |      R |        nan | nan |        en12 |     True |
|  59533.62505609954 | 14.67603 |  0.05 |   Vega |      I |        nan | nan |        en12 |     True |
|  59533.62505609954 | 15.83778 |  0.05 |     AB |      u |        nan | nan |        en12 |     True |
|  59533.62505609954 | 14.50361 |  0.05 |     AB |      g |        nan | nan |        en12 |     True |
|  59533.62505609954 | 14.42722 |  0.05 |     AB |      r |        nan | nan |        en12 |     True |
|  59533.62505609954 | 14.94248 |  0.05 |     AB |      i |        nan | nan |        en12 |     True |
|  59572.54216648148 | 14.15779 |  0.05 |   Vega |      U |        nan | nan |        en12 |     True |
|  59572.54216648148 |  14.0493 |  0.05 |   Vega |      B |        nan | nan |        en12 |     True |
|  59572.54216648148 | 12.74593 |  0.05 |   Vega |      V |        nan | nan |        en12 |     True |
|  59572.54216648148 | 12.53642 |  0.05 |   Vega |      R |        nan | nan |        en12 |     True |
|  59572.54216648148 | 12.61795 |  0.05 |   Vega |      I |        nan | nan |        en12 |     True |
|  59572.54216648148 | 15.08797 |  0.05 |     AB |      u |        nan | nan |        en12 |     True |
|  59572.54216648148 | 13.56794 |  0.05 |     AB |      g |        nan | nan |        en12 |     True |
|  59572.54216648148 |  12.6093 |  0.05 |     AB |      r |        nan | nan |        en12 |     True |
|  59572.54216648148 | 12.97952 |  0.05 |     AB |      i |        nan | nan |        en12 |     True |
|  59561.47789327546 | 13.04745 |  0.05 |   Vega |      U |        nan | nan |        en12 |     True |
|  59561.47789327546 | 13.09155 |  0.05 |   Vega |      B |        nan | nan |        en12 |     True |
|  59561.47789327546 | 12.58981 |  0.05 |   Vega |      V |        nan | nan |        en12 |     True |
|  59561.47789327546 | 12.72209 |  0.05 |   Vega |      R |        nan | nan |        en12 |     True |
|  59561.47789327546 | 13.27138 |  0.05 |   Vega |      I |        nan | nan |        en12 |     True |
|  59561.47789327546 | 13.96532 |  0.05 |     AB |      u |        nan | nan |        en12 |     True |
|  59561.47789327546 | 12.83479 |  0.05 |     AB |      g |        nan | nan |        en12 |     True |
|  59561.47789327546 | 12.77034 |  0.05 |     AB |      r |        nan | nan |        en12 |     True |
|  59561.47789327546 | 13.55969 |  0.05 |     AB |      i |        nan | nan |        en12 |     True |
|     59534.50276309 | 14.03559 |  0.05 |   Vega |      U |        nan | nan |        en12 |     True |
