|     obsdate |  UL5_4 | e_UL5_4 |    mag | e_mag | observatory | filter |                                                                                           image |
| 59621.11057 | 17.857 |   0.052 |  14.76 | 0.068 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59621.1106_420.com.fits |
| 59624.10142 | 18.708 |   0.045 | 14.844 | 0.057 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59624.1014_720.com.fits |
| 59625.13775 | 18.591 |   0.045 | 14.885 | 0.058 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59625.1377_720.com.fits |
| 59627.10467 |  18.61 |   0.044 | 14.928 | 0.057 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59627.1047_720.com.fits |
| 59631.09317 | 18.901 |   0.046 | 15.072 | 0.061 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59631.0932_720.com.fits |
| 59634.08117 | 19.188 |   0.047 | 15.178 | 0.064 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59634.0812_720.com.fits |
| 59636.12667 | 19.404 |   0.046 | 15.264 | 0.063 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59636.1267_720.com.fits |
| 59638.07433 |  19.35 |   0.046 | 15.294 | 0.063 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59638.0743_720.com.fits |
| 59639.07175 | 19.345 |   0.046 | 15.327 | 0.064 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59639.0718_720.com.fits |
| 59640.06858 |  19.29 |   0.046 | 15.369 | 0.065 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59640.0686_720.com.fits |
| 59642.06325 | 19.297 |   0.047 | 15.421 | 0.066 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59642.0633_720.com.fits |
| 59645.05175 | 19.293 |   0.047 | 15.487 | 0.067 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59645.0518_720.com.fits |
| 59646.05008 | 19.252 |   0.046 | 15.545 | 0.068 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59646.0501_720.com.fits |
| 59648.11342 | 19.291 |   0.047 | 15.638 | 0.071 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59648.1134_720.com.fits |
|  59649.0565 | 19.162 |   0.046 | 15.628 | 0.069 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59649.0565_720.com.fits |
|   59650.082 | 18.116 |   0.047 | 15.681 | 0.074 |      RASA36 |      r |    /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59650.082_60.com.fits |
| 59654.04775 | 18.797 |   0.046 | 15.751 | 0.072 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59654.0477_720.com.fits |
| 59656.05583 | 18.452 |   0.045 | 15.826 | 0.074 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59656.0558_720.com.fits |
| 59659.04367 | 18.679 |   0.046 | 15.922 | 0.077 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59659.0437_720.com.fits |
|   59660.038 | 18.334 |   0.046 | 16.037 |  0.08 |      RASA36 |      r |    /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59660.038_60.com.fits |
|   59664.051 | 18.337 |   0.047 | 16.101 | 0.083 |      RASA36 |      r |    /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59664.051_60.com.fits |
|  59673.0235 | 19.262 |   0.047 | 16.325 | 0.087 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59673.0235_720.com.fits |
| 59676.06675 | 19.024 |   0.047 | 16.434 | 0.092 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59676.0667_720.com.fits |
|  59678.0634 | 18.748 |   0.049 | 16.494 | 0.099 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59678.0634_300.com.fits |
| 59680.00675 | 19.059 |   0.047 | 16.516 | 0.094 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59680.0068_720.com.fits |
| 59681.02717 | 18.788 |   0.047 | 16.605 | 0.099 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59681.0272_720.com.fits |
| 59682.44943 | 18.357 |   0.045 | 16.632 | 0.103 |      RASA36 |      r | /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59682.4494_1260.com.fits |
|   59683.001 | 18.092 |   0.046 | 16.586 | 0.105 |      RASA36 |      r |   /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59683.001_180.com.fits |
| 59684.01817 | 18.183 |   0.047 | 16.531 | 0.102 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59684.0182_720.com.fits |
| 59685.05378 | 17.912 |   0.048 | 16.649 | 0.115 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59685.0538_540.com.fits |
| 59688.02492 |  18.33 |   0.047 | 16.706 | 0.108 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59688.0249_720.com.fits |
|  59693.9954 | 18.649 |   0.047 | 17.001 |  0.12 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59693.9954_300.com.fits |
| 59694.00643 | 18.803 |   0.047 | 16.902 | 0.114 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59694.0064_420.com.fits |
|   59695.009 | 17.976 |   0.047 | 16.959 |  0.13 |      RASA36 |      r |    /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59695.009_60.com.fits |
|   59699.627 | 19.361 |   0.048 | 17.034 | 0.115 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59699.627_1140.com.fits |
| 59702.99075 | 19.174 |   0.048 | 17.114 |  0.12 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59702.9907_720.com.fits |
| 59703.99529 | 18.966 |   0.048 | 17.091 | 0.122 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59703.9953_420.com.fits |
|   59704.702 | 18.408 |   0.053 | 17.193 | 0.156 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/HIGH/aligned/combined/NGC1566_RASA36_59704.702_1020.com.fits |
|  59523.2135 | 19.846 |   0.028 | 19.846 | 0.028 |      RASA36 |      r | /data2/SN2021aefx_220627/RASA36/r/MERGE/aligned/combined/NGC1566_RASA36_59523.2135_720.com.fits |
|  59524.2075 | 19.791 |   0.028 | 19.791 | 0.028 |      RASA36 |      r | /data2/SN2021aefx_220627/RASA36/r/MERGE/aligned/combined/NGC1566_RASA36_59524.2075_720.com.fits |
| 59526.26942 | 19.677 |   0.028 | 19.677 | 0.028 |      RASA36 |      r | /data2/SN2021aefx_220627/RASA36/r/MERGE/aligned/combined/NGC1566_RASA36_59526.2694_720.com.fits |
| 59529.33175 | 19.818 |   0.028 | 17.392 | 0.037 |      RASA36 |      r | /data2/SN2021aefx_220627/RASA36/r/MERGE/aligned/combined/NGC1566_RASA36_59529.3318_720.com.fits |
|  59530.2525 | 19.361 |   0.028 | 15.985 |  0.03 |      RASA36 |      r | /data2/SN2021aefx_220627/RASA36/r/MERGE/aligned/combined/NGC1566_RASA36_59530.2525_720.com.fits |
|  59578.2095 | 20.214 |   0.029 | 13.067 | 0.029 |      RASA36 |      r | /data2/SN2021aefx_220627/RASA36/r/MERGE/aligned/combined/NGC1566_RASA36_59578.2095_720.com.fits |
|   59579.202 | 20.339 |   0.029 | 13.161 | 0.029 |      RASA36 |      r |  /data2/SN2021aefx_220627/RASA36/r/MERGE/aligned/combined/NGC1566_RASA36_59579.202_720.com.fits |
|  59581.2075 | 19.941 |   0.028 | 13.263 | 0.028 |      RASA36 |      r | /data2/SN2021aefx_220627/RASA36/r/MERGE/aligned/combined/NGC1566_RASA36_59581.2075_360.com.fits |
|  59582.1875 | 20.057 |   0.028 |  13.28 | 0.028 |      RASA36 |      r | /data2/SN2021aefx_220627/RASA36/r/MERGE/aligned/combined/NGC1566_RASA36_59582.1875_480.com.fits |
|  59583.2545 |   20.2 |   0.029 | 13.357 | 0.029 |      RASA36 |      r | /data2/SN2021aefx_220627/RASA36/r/MERGE/aligned/combined/NGC1566_RASA36_59583.2545_600.com.fits |

