|        obj |   ra_hms |   dec_dms | filter | exptime | count | binning |                 weight |     note | scheduled |     name |       ra |      dec |                d_L |               prob_vol | stmass |      prob_vol_x_stmass | rank | confidence |                                                  mainTarget |                                                                          FixedTarget |                               id |                    rise |                    transit |                     set | maxalt | moonsep |
| MS181101ab | 13:06:24 | -24:09:50 |    V,R | 120,120 |   5,5 |     1,1 |   0.012557208659711931 |  1171561 |     False |  1171561 | 196.6001 |  -24.164 |           39.37942 |  0.0011820846683311002 |   0.08 |   0.012557208659711931 |   20 |        1.0 |  Target[name=MS181101ab, ra[deg]=196.6001, dec[deg]=-24.164 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (196.6001, -24.164)> | 89a4c77c18d6451f93f5e3a77a6bdca6 |                         | 2023-04-26 14:06:13.821080 |                         |   28.1 |      94 |
| MS181101ab | 12:55:59 | -19:16:08 |    V,R | 120,120 |   5,5 |     1,1 |   0.009747169599623764 |  1264958 |     False |  1264958 | 193.9987 |  -19.269 |           42.49945 |  0.0012247406492650618 |   0.06 |   0.009747169599623764 |   21 |        1.0 |  Target[name=MS181101ab, ra[deg]=193.9987, dec[deg]=-19.269 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (193.9987, -19.269)> | 37df85fc99ca4985925093d76e240d8b | 2023-04-26T12:55:51.853 | 2023-04-26 13:58:42.813508 | 2023-04-26T15:28:39.103 |   33.1 |      89 |
| MS181101ab | 12:54:49 | -16:03:07 |    V,R | 120,120 |   5,5 |     1,1 |   0.007792064731079424 |  2395186 |     False |  2395186 |  193.706 | -16.0522 |          47.815477 |   0.001960541774196839 |   0.03 |   0.007792064731079424 |   22 |        1.0 |  Target[name=MS181101ab, ra[deg]=193.706, dec[deg]=-16.0522 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (193.706, -16.0522)> | 31352a966aa544b689b1bea96c5f1189 | 2023-04-26T12:20:54.130 | 2023-04-26 13:58:00.840732 | 2023-04-26T15:59:50.775 |   36.3 |      88 |
| MS181101ab | 12:55:19 | -14:56:59 |    V,R | 120,120 |   5,5 |     1,1 |   0.006382552588011166 |  1263500 |     False |  1263500 | 193.8304 | -14.9498 |          44.496417 |  0.0004385579936200163 |   0.11 |   0.006382552588011166 |   23 |        1.0 | Target[name=MS181101ab, ra[deg]=193.8304, dec[deg]=-14.9498 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (193.8304, -14.9498)> | 6e57e2f255de4201be81357bbe19ba81 | 2023-04-26T12:12:46.108 | 2023-04-26 13:58:24.462773 | 2023-04-26T16:10:41.744 |   37.4 |      87 |
| MS181101ab | 12:50:37 | -14:28:57 |    V,R | 120,120 |   5,5 |     1,1 |   0.005127070290439802 |  1172071 |      True |  1172071 | 192.6544 | -14.4827 |          52.011736 |  0.0003235176401871656 |   0.12 |   0.005127070290439802 |   24 |        1.0 | Target[name=MS181101ab, ra[deg]=192.6544, dec[deg]=-14.4827 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (192.6544, -14.4827)> | 668c1d681b4c49a4865e730c0baafabb | 2023-04-26T12:04:34.030 | 2023-04-26 13:55:11.157122 | 2023-04-26T16:10:02.305 |   37.9 |      86 |
| MS181101ab | 13:10:35 | -21:44:53 |    V,R | 120,120 |   5,5 |     1,1 |    0.00457955981537597 |  1264970 |     False |  1264970 | 197.6488 | -21.7482 |           38.89456 |  0.0003471441498255704 |    0.1 |    0.00457955981537597 |   25 |        1.0 | Target[name=MS181101ab, ra[deg]=197.6488, dec[deg]=-21.7482 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (197.6488, -21.7482)> | 55b1a2f3fd0d4ffab78ed2c6514b0895 | 2023-04-26T13:58:56.945 | 2023-04-26 14:09:35.770256 | 2023-04-26T14:37:15.564 |   30.5 |      93 |
| MS181101ab | 13:07:44 | -22:51:28 |    V,R | 120,120 |   5,5 |     1,1 |   0.004357614588432127 |  1329989 |     False |  1329989 |  196.937 | -22.8578 |          26.182023 |   0.001652463545519222 |   0.02 |   0.004357614588432127 |   26 |        1.0 |  Target[name=MS181101ab, ra[deg]=196.937, dec[deg]=-22.8578 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (196.937, -22.8578)> | f7863681fa674ea2acadbaf484ade4e8 |                         | 2023-04-26 14:07:18.708799 |                         |   29.4 |      93 |
| MS181101ab | 13:07:34 | -23:48:54 |    V,R | 120,120 |   5,5 |     1,1 |   0.003541777686526772 |  2406489 |     False |  2406489 |  196.892 | -23.8152 |          42.146198 |  0.0026928449774358022 |   0.01 |   0.003541777686526772 |   27 |        1.0 |  Target[name=MS181101ab, ra[deg]=196.892, dec[deg]=-23.8152 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (196.892, -23.8152)> | 7a7edfb2c78846b98939c9ef14e5dc7d |                         | 2023-04-26 14:07:08.774151 |                         |   28.5 |      94 |
| MS181101ab | 13:09:16 | -24:23:06 |    V,R | 120,120 |   5,5 |     1,1 |   0.003349223537665693 | 13280775 |     False | 13280775 | 197.3205 |  -24.385 |          39.334459 |   0.002548381114447266 |   0.01 |   0.003349223537665693 |   28 |        1.0 |  Target[name=MS181101ab, ra[deg]=197.3205, dec[deg]=-24.385 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (197.3205, -24.385)> | 0df84327b206454bbf473c0095ab4289 |                         | 2023-04-26 14:08:28.922741 |                         |   27.9 |      94 |
| MS181101ab | 13:04:15 | -22:52:52 |    V,R | 120,120 |   5,5 |     1,1 |   0.003138851971024467 |  1325554 |     False |  1325554 |  196.063 | -22.8812 |          37.683354 |   0.002390549723331057 |   0.01 |   0.003138851971024467 |   29 |        1.0 |  Target[name=MS181101ab, ra[deg]=196.063, dec[deg]=-22.8812 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (196.063, -22.8812)> | 1c6b1cd3eb9f4644aceacea6afdd0752 |                         | 2023-04-26 14:04:37.355781 |                         |   29.4 |      93 |
| MS181101ab | 13:07:30 | -23:10:13 |    V,R | 120,120 |   5,5 |     1,1 |  0.0029202048122036876 |  1328590 |     False |  1328590 |  196.879 | -23.1705 |          39.313858 |   0.004453019128667965 |  0.005 |  0.0029202048122036876 |   30 |        1.0 |  Target[name=MS181101ab, ra[deg]=196.879, dec[deg]=-23.1705 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (196.879, -23.1705)> | d2e5e016c6124f1499ca171cab53e701 |                         | 2023-04-26 14:07:07.342656 |                         |   29.1 |      93 |
