|        obj |   ra_hms |   dec_dms | filter | exptime | count | binning |                 weight | note | scheduled |  #id |       ra |      dec |                ra1 |                dec1 |                ra2 |                dec2 |                ra3 |                dec3 |                ra4 |                dec4 | n_hostgalaxy |      prob_vol_x_stmass | rank | confidence |                                                  mainTarget |                                                                          FixedTarget |                               id |                    rise |                    transit |                     set | maxalt | moonsep |
| MS181101ab | 13:13:39 | -23:27:16 |    B,R | 180,180 |  5,10 |     1,1 | 2.5770358223534785e-07 | 1644 |     False | 1644 | 198.4158 | -23.4545 |  199.0577358493299 |  -22.86172668493405 | 199.06351196847157 | -24.044714817982687 | 197.76817119984528 | -24.044714817982694 | 197.77394731898687 |  -22.86172668493405 |            1 | 2.5770358223534785e-07 |   20 |        1.0 | Target[name=MS181101ab, ra[deg]=198.4158, dec[deg]=-23.4545 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (198.4158, -23.4545)> | 05d3c93084884802bc2681103084cb42 |                         | 2023-04-26 14:07:58.060466 |                         |   28.7 |      95 |
| MS181101ab | 13:14:09 | -24:32:43 |    B,R | 180,180 |  5,10 |     1,1 |                    0.0 | 1342 |     False | 1342 | 198.5382 | -24.5455 | 199.18541277214408 |  -23.95256675360389 | 199.19154439320693 | -25.135553605766766 |   197.884867566926 | -25.135553605766766 | 197.89099918798883 |  -23.95256675360389 |            0 |                    0.0 |   21 |        1.0 | Target[name=MS181101ab, ra[deg]=198.5382, dec[deg]=-24.5455 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (198.5382, -24.5455)> | d78e849c96a14186b7b147569ef269e2 |                         | 2023-04-26 14:08:21.146923 |                         |   27.6 |      95 |
| MS181101ab | 13:00:46 | -21:16:21 |    B,R | 180,180 |  5,10 |     1,1 |                    0.0 | 2253 |     False | 2253 | 195.1948 | -21.2727 | 195.82700996171403 | -20.680043323366277 | 195.83211261408061 |  -21.86303376753123 | 194.55749777552975 | -21.863033767531228 | 194.56260042789634 | -20.680043323366277 |            0 |                    0.0 |   22 |        1.0 | Target[name=MS181101ab, ra[deg]=195.1948, dec[deg]=-21.2727 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (195.1948, -21.2727)> | 1c3cc1cd0bfa4d33a45cbde7546c571a | 2023-04-26T13:38:41.500 | 2023-04-26 13:57:59.504670 | 2023-04-26T14:41:24.026 |   30.9 |      91 |
| MS181101ab | 13:17:18 | -25:38:10 |    B,R | 180,180 |  5,10 |     1,1 |                    0.0 | 1043 |     False | 1043 | 199.3289 | -25.6364 | 199.98170566314528 | -25.043405644592607 |  199.9882066888515 |  -26.22639112602681 | 198.66951143195385 | -26.226391126026808 | 198.67601245766008 | -25.043405644592607 |            0 |                    0.0 |   23 |        1.0 | Target[name=MS181101ab, ra[deg]=199.3289, dec[deg]=-25.6364 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (199.3289, -25.6364)> | 6ad34110538b477b8acb3cb907922391 |                         | 2023-04-26 14:11:01.105138 |                         |   26.5 |      97 |
| MS181101ab | 13:01:10 | -22:21:49 |    B,R | 180,180 |  5,10 |     1,1 |                    0.0 | 1946 |     False | 1946 | 195.2941 | -22.3636 | 195.93101486850784 | -21.770885516797573 | 195.93644832682565 | -22.953874845713077 | 194.65178696729197 | -22.953874845713074 | 194.65722042560978 |  -21.77088551679757 |            1 |                    0.0 |   24 |        1.0 | Target[name=MS181101ab, ra[deg]=195.2941, dec[deg]=-22.3636 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (195.2941, -22.3636)> | cd5f2a9c2a9c4e57a70597691913fe49 |                         | 2023-04-26 13:58:15.001025 |                         |   29.8 |      92 |
| MS181101ab | 13:07:39 | -25:38:10 |    B,R | 180,180 |  5,10 |     1,1 |                    0.0 | 1041 |     False | 1041 | 196.9128 | -25.6364 | 197.56559828059494 | -25.043405644592603 |  197.5720993063012 | -26.226391126026808 |  196.2534040494035 | -26.226391126026808 | 196.25990507510974 | -25.043405644592603 |            0 |                    0.0 |   25 |        1.0 | Target[name=MS181101ab, ra[deg]=196.9128, dec[deg]=-25.6364 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (196.9128, -25.6364)> | 268ca2d250bf4c2aa6a0562a04a18735 |                         | 2023-04-26 14:03:04.493642 |                         |   26.6 |      95 |
| MS181101ab | 13:10:35 | -22:21:49 |    B,R | 180,180 |  5,10 |     1,1 |                    0.0 | 1948 |     False | 1948 | 197.6471 | -22.3636 | 198.28395604497842 |  -21.77088551679757 | 198.28938950329623 | -22.953874845713077 | 197.00472814376252 | -22.953874845713077 | 197.01016160208036 | -21.770885516797573 |            0 |                    0.0 |   26 |        1.0 | Target[name=MS181101ab, ra[deg]=197.6471, dec[deg]=-22.3636 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (197.6471, -22.3636)> | 2fb50ee109e240e38a1d58ed4dfabe1e |                         | 2023-04-26 14:05:29.002373 |                         |   29.8 |      94 |
| MS181101ab | 13:10:46 | -26:43:38 |    B,R | 180,180 |  5,10 |     1,1 |                    0.0 |  745 |     False |  745 | 197.6949 | -26.7273 | 198.35374172776602 |  -26.13424327525488 |   198.360627206242 | -27.317227290829493 | 197.02920330223253 | -27.317227290829493 |  197.0360887807085 | -26.134243275254885 |            0 |                    0.0 |   27 |        1.0 | Target[name=MS181101ab, ra[deg]=197.6949, dec[deg]=-26.7273 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (197.6949, -26.7273)> | a492e088e28d467b83152f885297aea8 |                         | 2023-04-26 14:05:32.294731 |                         |   25.4 |      96 |
| MS181101ab | 12:49:11 | -12:32:43 |    B,R | 180,180 |  5,10 |     1,1 |                    0.0 | 4776 |     False | 4776 | 192.2981 | -12.5455 | 192.90271477061523 | -11.953276687262091 | 192.90549898426826 | -13.136273565602837 | 191.69077430765716 | -13.136273565602837 |  191.6935585213102 | -11.953276687262091 |            0 |                    0.0 |   28 |        1.0 | Target[name=MS181101ab, ra[deg]=192.2981, dec[deg]=-12.5455 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (192.2981, -12.5455)> | 928364fa5f31462eaba3d9526b5042a5 | 2023-04-26T11:45:18.766 | 2023-04-26 13:50:12.878716 | 2023-04-26T16:20:25.897 |   39.7 |      85 |
| MS181101ab | 13:09:40 | -20:10:54 |    B,R | 180,180 |  5,10 |     1,1 |                    0.0 | 2564 |     False | 2564 | 197.4194 | -20.1818 | 198.04716169050516 | -19.589200175123644 | 198.05194447346636 | -20.772191657936286 | 196.78676520395297 | -20.772191657936286 | 196.79154798691417 | -19.589200175123644 |            0 |                    0.0 |   29 |        1.0 | Target[name=MS181101ab, ra[deg]=197.4194, dec[deg]=-20.1818 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (197.4194, -20.1818)> | c8d3551919c146549e6f43d8a2cf661b | 2023-04-26T13:25:43.823 | 2023-04-26 14:04:48.813092 | 2023-04-26T15:26:12.841 |   32.0 |      93 |
