name,ra,dec,d_L,prob_vol,stmass,prob_vol_x_stmass,rank,confidence,obj,note,weight
1030906,0.872,27.352,121.930,9.911554979619383e-06,4.0,0.122,66,0.5,MS230501o,1030906,0.122
1035487,352.153,17.271,105.235,2.318158887726164e-05,1.7000000476837158,0.121,67,0.5,MS230501o,1035487,0.121
1029084,5.284,27.213,145.529,3.894236220445632e-06,10.0,0.120,68,0.5,MS230501o,1029084,0.120
1024799,13.781,31.542,92.824,6.456659464828706e-06,6.0,0.119,69,0.5,MS230501o,1024799,0.119
1151635,341.102,-0.162,77.703,7.283689650522569e-06,5.0,0.112,70,0.5,MS230501o,1151635,0.112
1031033,6.998,30.765,103.827,1.8020650918485667e-05,2.0,0.111,71,0.5,MS230501o,1031033,0.111
2003,2.512,28.150,131.018,1.1994069600053237e-05,3.0,0.111,72,0.5,MS230501o,2003,0.111
1037023,350.155,16.209,113.015,1.7919000102987005e-05,2.0,0.110,73,0.5,MS230501o,1037023,0.110
1029772,358.807,21.762,123.798,5.676788356791626e-06,6.199999809265137,0.108,74,0.5,MS230501o,1029772,0.108
436,27.432,35.786,82.297,3.9034985368219825e-06,9.0,0.108,75,0.5,MS230501o,436,0.108
1035720,3.814,29.363,114.534,1.1263922581812577e-05,3.0999999046325684,0.108,76,0.5,MS230501o,1035720,0.108
1486,8.977,31.873,103.065,1.734207142764154e-05,2.0,0.107,77,0.5,MS230501o,1486,0.107
1031772,350.863,14.326,119.151,1.1520921824428564e-05,3.0,0.107,78,0.5,MS230501o,1031772,0.107
1024954,16.815,32.520,95.427,4.920071727146193e-06,7.0,0.106,79,0.5,MS230501o,1024954,0.106
1026104,341.581,3.210,75.850,8.361334584001093e-06,4.099999904632568,0.106,80,0.5,MS230501o,1026104,0.106
1031628,11.617,31.809,103.497,1.703253211861574e-05,2.0,0.105,81,0.5,MS230501o,1031628,0.105
110417,2.649,28.682,129.771,8.497085413046573e-06,4.0,0.105,82,0.5,MS230501o,110417,0.105
1038598,1.186,26.832,120.224,1.878688853382064e-05,1.7999999523162842,0.104,83,0.5,MS230501o,1038598,0.104
1039797,2.909,27.948,119.376,1.9768112181011572e-05,1.7000000476837158,0.104,84,0.5,MS230501o,1039797,0.104
1035814,4.224,27.848,143.844,1.114348038424683e-05,3.0,0.103,85,0.5,MS230501o,1035814,0.103
1034901,351.201,15.000,140.173,7.589828387853553e-06,4.400000095367432,0.103,86,0.5,MS230501o,1034901,0.103
1034749,345.171,7.303,116.437,1.108605755362778e-05,3.0,0.102,87,0.5,MS230501o,1034749,0.102
1027184,17.823,33.114,94.339,5.98123830215865e-06,5.5,0.101,88,0.5,MS230501o,1027184,0.101
1025890,25.607,35.638,94.685,6.031969440946281e-06,5.400000095367432,0.100,89,0.5,MS230501o,1025890,0.100
660,4.594,30.080,117.628,8.141331063552432e-06,4.0,0.100,90,0.5,MS230501o,660,0.100
