|     name |        ra |       dec |     d_L |               prob_vol | stmass |    prob_vol_x_stmass | rank | confidence |       obj |     note |               weight | filter | count | exptime | binning |   ra_hms |   dec_dms | maxalt |                 transit | moonsep |                               id | fraction_obs | scheduled |
|  2550407 | 240.42300 | -13.95200 | 736.154 |  2.035686614155317e-07 |   14.0 |   0.1572551929280738 |   20 |        0.5 | S240910ci |  2550407 |   0.1572551929280738 |      r |     6 |     180 |       1 | 16:01:41 | -13:57:07 |  53.11 | 2024-09-12T21:14:25.720 |   36.13 | 7a86915b043e4e869e1f9a162eccdbc4 |         0.20 |     False |
|  1495037 | 251.64800 | -24.46700 | 787.114 |  1.204725771909416e-07 |   23.0 |   0.1528909985910353 |   21 |        0.5 | S240910ci |  1495037 |   0.1528909985910353 |      r |     6 |     180 |       1 | 16:46:35 | -24:28:01 |  67.36 | 2024-09-12T21:59:19.720 |   22.21 | 9e2fc75ba1204041bcf446a679b23844 |         0.30 |      True |
|  1522704 | 239.99800 | -13.84700 | 737.705 | 1.5377983528949667e-07 |   18.0 |  0.15273471920763693 |   22 |        0.5 | S240910ci |  1522704 |  0.15273471920763693 |      r |     6 |     180 |       1 | 15:59:59 | -13:50:49 |  52.71 | 2024-09-12T21:12:43.720 |   36.54 | cb53e7b08dd341e6b6aff826a9be2f95 |         0.20 |     False |
|  1522699 | 239.94100 | -12.94200 | 589.135 | 1.9593622246134465e-07 |   14.0 |   0.1513591181304976 |   23 |        0.5 | S240910ci |  1522699 |   0.1513591181304976 |      r |     6 |     180 |       1 | 15:59:45 | -12:56:31 |  52.16 | 2024-09-12T21:12:30.040 |   37.04 | 521aa8b913e34d2e9fd612bf03d1d74a |         0.20 |     False |
|  1474899 | 250.14300 | -22.85500 | 626.949 |  1.942470912794757e-07 |   14.0 |  0.15005426081673498 |   24 |        0.5 | S240910ci |  1474899 |  0.15005426081673498 |      r |     6 |     180 |       1 | 16:40:34 | -22:51:18 |  65.47 | 2024-09-12T21:53:18.520 |   24.01 | 4ee53a5f58b241759e1435b2c2a3337b |         0.30 |      True |
|  1522702 | 240.06700 | -13.74200 | 794.068 | 1.3577495930427977e-07 |   20.0 |  0.14983574802493568 |   25 |        0.5 | S240910ci |  1522702 |  0.14983574802493568 |      r |     6 |     180 |       1 | 16:00:16 | -13:44:31 |  52.71 | 2024-09-12T21:13:00.280 |   36.53 | 2c62d16cc0494557a5604373c7d118f5 |         0.20 |     False |
|  1536967 | 250.54100 | -22.77300 | 701.257 | 1.7869269509258258e-07 |   15.0 |  0.14789849165993402 |   26 |        0.5 | S240910ci |  1536967 |  0.14789849165993402 |      r |     6 |     180 |       1 | 16:42:09 | -22:46:22 |  65.77 | 2024-09-12T21:54:54.040 |   23.69 | 95bb098d7c3345d8a4bf783ec2729c5f |         0.30 |      True |
|  1523382 | 242.26600 | -15.12800 | 674.093 | 1.8753622176981504e-07 |   14.0 |  0.14487010031139266 |   27 |        0.5 | S240910ci |  1523382 |  0.14487010031139266 |      r |     6 |     180 |       1 | 16:09:03 | -15:07:40 |  55.25 | 2024-09-12T21:21:48.040 |    34.0 | c2f5fa6682374a969929c4c974d0e223 |         0.20 |     False |
|  1099421 | 231.67500 |   0.89100 | 557.875 |  8.475338083714731e-08 |   30.0 |  0.14029547115876279 |   28 |        0.5 | S240910ci |  1099421 |  0.14029547115876279 |      r |     6 |     180 |       1 | 15:26:42 |  00:53:27 |  37.23 | 2024-09-12T20:39:26.200 |   51.71 | 543179c0dd864a208e9ba6efcb8e6dcd |         0.07 |     False |
| 15989077 | 240.14400 | -13.36600 | 711.212 | 2.2559747785288273e-07 |   11.0 |  0.13692795984252604 |   29 |        0.5 | S240910ci | 15989077 |  0.13692795984252604 |      r |     6 |     180 |       1 | 16:00:34 | -13:21:57 |  52.56 | 2024-09-12T21:13:18.760 |   36.66 | b00416ed55384fb5a1918b31903eca0e |         0.20 |     False |
