|     name |        ra |       dec |     d_L |               prob_vol | stmass |    prob_vol_x_stmass | rank | confidence |       obj |     note |               weight | filter | count | exptime | binning |   ra_hms |   dec_dms | maxalt |                 transit | moonsep | scheduled |                               id | fraction_obs |
|  1556213 | 237.43200 |  -9.42900 | 595.271 | 1.3241662016119867e-07 |   14.0 |  0.10229009464770909 |   61 |        0.5 | S240910ci |  1556213 |  0.10229009464770909 |      r |    10 |     120 |       1 | 15:49:43 | -09:25:44 |  49.92 | 2024-09-10T21:10:20.886 |    24.9 |     False | 48f8ca28b7924c90b00af63df39df6bf |         0.16 |
|  1215967 | 231.86500 |  -1.64700 | 637.504 | 1.2316656323005665e-07 |   15.0 |   0.1019405797441949 |   62 |        0.5 | S240910ci |  1215967 |   0.1019405797441949 |      r |    10 |     120 |       1 | 15:27:27 | -01:38:49 |  40.73 | 2024-09-10T20:48:04.806 |   34.43 |     False | e393f34aae3c45919dceb728b0897c89 |         0.10 |
|  1554681 | 233.78200 |  -3.85000 | 745.673 |  7.656118018618177e-08 |   24.0 |  0.10138713035735801 |   63 |        0.5 | S240910ci |  1554681 |  0.10138713035735801 |      r |    10 |     120 |       1 | 15:35:07 | -03:51:00 |  43.61 | 2024-09-10T20:55:44.886 |   31.51 |     False | a301e03083fd4d3ea02582baf533e7ec |         0.13 |
|  1460025 | 233.26000 |  -2.74700 | 704.488 |  9.183052241229487e-08 |   20.0 |  0.10133979384684884 |   64 |        0.5 | S240910ci |  1460025 |  0.10133979384684884 |      r |    10 |     120 |       1 | 15:33:02 | -02:44:49 |  42.51 | 2024-09-10T20:53:39.606 |    32.7 |     False | a58dc46a653b4a0a94eaf0d00cf94d35 |         0.13 |
|  1576523 | 243.48500 | -17.17800 |  635.69 |  2.016295714103902e-07 |    9.0 |  0.10012893519009299 |   65 |        0.5 | S240910ci |  1576523 |  0.10012893519009299 |      r |    10 |     120 |       1 | 16:13:56 | -17:10:40 |  59.16 | 2024-09-10T21:34:33.606 |    15.2 |     False | 468c21f02d3b4a4dbf1833e88bf6243d |         0.23 |
|  1522835 | 241.76000 | -15.64700 | 717.849 | 2.2585430132115817e-07 |    8.0 |  0.09969679024855457 |   66 |        0.5 | S240910ci |  1522835 |  0.09969679024855457 |      r |    10 |     120 |       1 | 16:07:02 | -15:38:49 |  56.94 | 2024-09-10T21:27:39.606 |   17.45 |     False | bc4cc478b7824185ae7d2968e470e033 |         0.23 |
|  1576576 | 244.46100 | -17.85500 | 780.224 | 1.4805109222357106e-07 |   12.0 |  0.09802921743145378 |   67 |        0.5 | S240910ci |  1576576 |  0.09802921743145378 |      r |    10 |     120 |       1 | 16:17:50 | -17:51:18 |  60.31 | 2024-09-10T21:38:27.846 |   14.07 |     False | ff8ce6436e26410f9e6eb397c6ed6e24 |         0.26 |
|  1466494 | 253.80100 | -25.33500 | 763.394 | 1.3514064015925754e-07 |   13.0 |  0.09693751837253792 |   68 |        0.5 | S240910ci |  1466494 |  0.09693751837253792 |      r |    10 |     120 |       1 | 16:55:12 | -25:20:06 |   71.4 | 2024-09-10T22:15:49.446 |    2.78 |     False | 2ecac570578b4bc3b2cf117f0b89f9c1 |         0.00 |
|  1523385 | 242.25500 | -16.54000 | 792.239 | 1.0298342106789734e-07 |   17.0 |  0.09660036735837906 |   69 |        0.5 | S240910ci |  1523385 |  0.09660036735837906 |      r |    10 |     120 |       1 | 16:09:01 | -16:32:23 |  57.82 | 2024-09-10T21:29:38.406 |   16.48 |     False | a0b8e338d9f943b58da20dba3ce12c25 |         0.23 |
|  1522712 | 240.18400 | -13.71700 | 641.161 |  2.187926803110149e-07 |    8.0 |   0.0965795806707171 |   70 |        0.5 | S240910ci |  1522712 |   0.0965795806707171 |      r |    10 |     120 |       1 | 16:00:44 | -13:43:01 |  54.61 | 2024-09-10T21:21:21.366 |    19.9 |     False | 4688bb3601cd48eaab6e4becb7adc035 |         0.19 |
|  1576511 | 243.08900 | -15.73500 | 606.679 | 1.4583904844879906e-07 |   12.0 |   0.0965645245447758 |   71 |        0.5 | S240910ci |  1576511 |   0.0965645245447758 |      r |    10 |     120 |       1 | 16:12:21 | -15:44:05 |  58.07 | 2024-09-10T21:32:58.566 |   16.52 |     False | 1770dba24b8947eda0e654b5d620d1e6 |         0.23 |
|  1583066 | 243.43600 | -18.01500 | 592.769 |  1.239916646890087e-07 |   14.0 |  0.09578179920919393 |   72 |        0.5 | S240910ci |  1583066 |  0.09578179920919393 |      r |    10 |     120 |       1 | 16:13:44 | -18:00:54 |  59.55 | 2024-09-10T21:34:21.846 |   14.64 |     False | 9fca2126d372465fbe7b9ce15bbae460 |         0.23 |
|  1556303 | 238.73900 | -11.11800 | 611.216 |  1.926187135854408e-07 |    9.0 |  0.09565406691117627 |   73 |        0.5 | S240910ci |  1556303 |  0.09565406691117627 |      r |    10 |     120 |       1 | 15:54:57 | -11:07:04 |  51.96 | 2024-09-10T21:15:34.566 |   22.78 |     False | 38d2c03e221747a6b2d1ce59f4a8ec73 |         0.19 |
