wave flux
4614.963 3.9400342622176696e-13
4619.308 3.9237204404045343e-13
4623.652 3.907597103441975e-13
4627.997 3.891652855981612e-13
4632.342 3.875887458157371e-13
4636.688 3.860293368797939e-13
4641.033 3.844873790593655e-13
4645.378 3.829621142582673e-13
4649.724 3.8145279974876434e-13
4654.069 3.7995973274677224e-13
4658.415 3.7848182851233e-13
4662.761 3.770190349302387e-13
4667.107 3.7557095444184885e-13
4671.453 3.7413718948850993e-13
4675.799 3.7271734251157257e-13
4680.145 3.7131101595238605e-13
4684.492 3.6991749316041755e-13
4688.838 3.6853701764308377e-13
4693.185 3.6716855635794496e-13
4697.532 3.6581203056374144e-13
4701.879 3.6446704242732903e-13
4706.226 3.6313319411556376e-13
4710.573 3.6181008779530176e-13
4714.92 3.6049732563339947e-13
4719.267 3.591945097967127e-13
4723.615 3.579009460121031e-13
4727.963 3.566165370054473e-13
4732.31 3.553412602515233e-13
4736.658 3.540751691574184e-13
4741.006 3.5281980880672767e-13
4745.354 3.5157643983236535e-13
4749.702 3.5034632286724577e-13
4754.05 3.4913071854428356e-13
4758.399 3.479306134572391e-13
4762.747 3.4674782037997673e-13
4767.096 3.4558305651064845e-13
4771.445 3.4443785739132393e-13
4775.793 3.433137405703964e-13
4780.142 3.422114502360159e-13
4784.492 3.411322635625374e-13
4788.841 3.4007793847239213e-13
4793.19 3.3904948564683276e-13
4797.539 3.3804816658877523e-13
4801.889 3.3707502245111496e-13
4806.239 3.3613154900625855e-13
4810.588 3.352183793948344e-13
4814.938 3.3433240904603347e-13
4819.288 3.3347044214368987e-13
4823.638 3.326290694872286e-13
4827.989 3.3180469412207415e-13
4832.339 3.3099428513056303e-13
4836.689 3.301942419994863e-13
4841.04 3.2940097374800893e-13
4845.391 3.2861125380293537e-13
4849.742 3.278216706119776e-13
4854.092 3.270289954846738e-13
4858.443 3.2622945307377503e-13
4862.795 3.254196260409206e-13
4867.146 3.245964743435472e-13
4871.497 3.237564016388497e-13
4875.849 3.2289579602715907e-13
4880.2 3.220116408016557e-13
4884.552 3.211001162962103e-13
4888.904 3.201580089531216e-13
4893.256 3.1918190486730737e-13
4897.608 3.181683901336849e-13
4901.96 3.1711405084717165e-13
4906.313 3.160161339730654e-13
4910.665 3.1487657546114154e-13
4915.017 3.1369760896128277e-13
4919.37 3.124814319117097e-13
4923.723 3.1123079337058035e-13
4928.076 3.0994817592742695e-13
4932.429 3.086360621717822e-13
4936.782 3.0729693469317823e-13
4941.135 3.0593327608114774e-13
4945.488 3.0454756892522285e-13
4949.842 3.031419709285317e-13
4954.196 3.017192822876806e-13
4958.549 3.002823188994727e-13
4962.903 2.9883290437182357e-13
4967.257 2.9737385153206494e-13
4971.611 2.9590764468107246e-13
4975.965 2.9443676811972266e-13
4980.319 2.929637061488917e-13
4984.674 2.914906050388604e-13
4989.028 2.9002062607627746e-13
4993.383 2.8855557956697665e-13
4997.738 2.8709828955455945e-13
5002.092 2.856515729588154e-13
5006.447 2.842172507710923e-13
5010.802 2.827981425484313e-13
5015.158 2.8139641473385723e-13
5019.513 2.8001519740095505e-13
5023.868 2.786566526429746e-13
5028.224 2.7732296337877087e-13
5032.58 2.760169319836314e-13
5036.935 2.7474133543680916e-13
5041.291 2.7349807518050127e-13
5045.647 2.722899353999232e-13
5050.003 2.711194038209978e-13
5054.36 2.699887134512003e-13
5058.716 2.689008715148276e-13
5063.072 2.6785810152897984e-13
5067.429 2.668619094094434e-13
5071.786 2.659109374615922e-13
5076.142 2.650028725667119e-13
5080.499 2.6413478138137206e-13
5084.856 2.63304360274127e-13
5089.214 2.6250891366212423e-13
5093.571 2.61746289216407e-13
5097.928 2.6101378357481563e-13
5102.286 2.603087210277341e-13
5106.643 2.5962890776659743e-13
5111.001 2.589715135851636e-13
5115.359 2.583341786621139e-13
5119.717 2.5771438436528025e-13
5124.075 2.571096120624942e-13
5128.433 2.565173431215877e-13
5132.791 2.5593505891039247e-13
5137.15 2.55360109561302e-13
5141.508 2.5479023975925275e-13
5145.867 2.542226680915562e-13
5150.226 2.53655005427286e-13
5154.585 2.530847314000767e-13
5158.944 2.5250932564356324e-13
5163.303 2.519262679483328e-13
5167.662 2.513334655354057e-13
5172.021 2.5073018414706346e-13
5176.381 2.501158166149172e-13
5180.74 2.494901797025245e-13
5185.1 2.4885252115596895e-13
5189.46 2.4820251788852727e-13
5193.82 2.475397046126036e-13
5198.18 2.468636160406024e-13
5202.54 2.4617378688492837e-13
5206.9 2.4546975185798596e-13
5211.261 2.4475087911286796e-13
5215.621 2.4401703295556883e-13
5219.982 2.4326741124055774e-13
5224.342 2.4250189237562624e-13
5228.703 2.417196596864783e-13
5233.064 2.4092042128223294e-13
5237.425 2.4010371155506917e-13
5241.786 2.3926906489716584e-13
5246.148 2.3841581794609714e-13
5250.509 2.3754389622329224e-13
5254.871 2.3665243401718723e-13
