# t        U        B        V        R       
  0.2763 -13.4089 -13.2247 -13.0526 -12.9151
  0.2775 -13.4205 -13.2359 -13.0633 -12.9249
  0.2788 -13.4323 -13.2472 -13.0739 -12.9347
  0.2800 -13.4440 -13.2585 -13.0846 -12.9446
  0.2813 -13.4559 -13.2699 -13.0953 -12.9545
  0.2826 -13.4678 -13.2813 -13.1061 -12.9645
  0.2839 -13.4797 -13.2928 -13.1170 -12.9745
  0.2851 -13.4914 -13.3040 -13.1276 -12.9844
  0.2864 -13.5029 -13.3148 -13.1378 -12.9939
  0.2877 -13.5143 -13.3256 -13.1480 -13.0034
  0.2890 -13.5259 -13.3364 -13.1583 -13.0130
  0.2903 -13.5374 -13.3473 -13.1686 -13.0226
  0.2917 -13.5491 -13.3583 -13.1790 -13.0323
  0.2930 -13.5607 -13.3693 -13.1894 -13.0420
  0.2943 -13.5725 -13.3803 -13.1998 -13.0518
  0.2956 -13.5841 -13.3914 -13.2103 -13.0615
  0.2970 -13.5955 -13.4024 -13.2206 -13.0711
  0.2983 -13.6069 -13.4134 -13.2310 -13.0807
  0.2997 -13.6184 -13.4245 -13.2414 -13.0903
  0.3010 -13.6299 -13.4356 -13.2518 -13.1000
  0.3024 -13.6414 -13.4468 -13.2623 -13.1097
  0.3038 -13.6530 -13.4580 -13.2729 -13.1195
  0.3051 -13.6647 -13.4693 -13.2834 -13.1293
  0.3065 -13.6764 -13.4806 -13.2941 -13.1392
  0.3079 -13.6882 -13.4920 -13.3048 -13.1491
  0.3093 -13.7000 -13.5034 -13.3155 -13.1591
  0.3107 -13.7119 -13.5149 -13.3263 -13.1691
  0.3121 -13.7236 -13.5261 -13.3368 -13.1789
  0.3135 -13.7349 -13.5369 -13.3468 -13.1883
  0.3149 -13.7463 -13.5478 -13.3569 -13.1977
  0.3163 -13.7578 -13.5587 -13.3670 -13.2072
  0.3178 -13.7693 -13.5696 -13.3771 -13.2167
  0.3192 -13.7809 -13.5806 -13.3873 -13.2263
  0.3207 -13.7925 -13.5916 -13.3975 -13.2359
  0.3221 -13.8041 -13.6027 -13.4077 -13.2456
  0.3236 -13.8159 -13.6139 -13.4181 -13.2553
  0.3250 -13.8272 -13.6247 -13.4281 -13.2648
  0.3265 -13.8385 -13.6355 -13.4381 -13.2742
  0.3280 -13.8498 -13.6463 -13.4481 -13.2837
  0.3295 -13.8612 -13.6572 -13.4582 -13.2932
  0.3310 -13.8726 -13.6682 -13.4683 -13.3028
  0.3325 -13.8841 -13.6791 -13.4785 -13.3124
  0.3340 -13.8956 -13.6902 -13.4887 -13.3221
  0.3355 -13.9072 -13.7013 -13.4990 -13.3318
  0.3370 -13.9193 -13.7128 -13.5096 -13.3413
  0.3385 -13.9312 -13.7243 -13.5201 -13.3509
  0.3400 -13.9430 -13.7358 -13.5306 -13.3604
  0.3416 -13.9549 -13.7473 -13.5412 -13.3701
  0.3431 -13.9668 -13.7587 -13.5516 -13.3796
  0.3447 -13.9785 -13.7696 -13.5616 -13.3891
  0.3462 -13.9902 -13.7806 -13.5717 -13.3986
  0.3478 -14.0020 -13.7917 -13.5818 -13.4081
  0.3494 -14.0136 -13.8027 -13.5919 -13.4177
  0.3510 -14.0249 -13.8136 -13.6020 -13.4272
  0.3525 -14.0363 -13.8246 -13.6122 -13.4368
  0.3541 -14.0477 -13.8356 -13.6224 -13.4465
  0.3557 -14.0592 -13.8467 -13.6327 -13.4562
  0.3574 -14.0707 -13.8579 -13.6431 -13.4660
  0.3590 -14.0823 -13.8696 -13.6544 -13.4765
  0.3606 -14.0939 -13.8814 -13.6658 -13.4869
  0.3622 -14.1056 -13.8932 -13.6772 -13.4975
  0.3639 -14.1171 -13.9048 -13.6882 -13.5079
  0.3655 -14.1285 -13.9157 -13.6984 -13.5177
  0.3672 -14.1398 -13.9266 -13.7086 -13.5277
  0.3688 -14.1512 -13.9376 -13.7188 -13.5376
  0.3705 -14.1627 -13.9486 -13.7291 -13.5476
  0.3722 -14.1742 -13.9596 -13.7395 -13.5577
  0.3739 -14.1856 -13.9706 -13.7497 -13.5675
  0.3755 -14.1949 -13.9794 -13.7574 -13.5738
  0.3772 -14.2042 -13.9882 -13.7651 -13.5802
  0.3790 -14.2135 -13.9970 -13.7728 -13.5865
  0.3807 -14.2224 -14.0057 -13.7802 -13.5933
  0.3824 -14.2344 -14.0175 -13.7912 -13.6037
  0.3841 -14.2465 -14.0295 -13.8022 -13.6141
  0.3859 -14.2584 -14.0411 -13.8129 -13.6242
  0.3876 -14.2688 -14.0509 -13.8217 -13.6320
  0.3894 -14.2793 -14.0606 -13.8305 -13.6399
  0.3911 -14.2898 -14.0704 -13.8393 -13.6478
  0.3929 -14.3005 -14.0804 -13.8483 -13.6559
  0.3947 -14.3117 -14.0910 -13.8584 -13.6653
  0.3965 -14.3229 -14.1017 -13.8686 -13.6747
  0.3982 -14.3342 -14.1124 -13.8788 -13.6842
  0.4001 -14.3455 -14.1231 -13.8890 -13.6936
  0.4019 -14.3566 -14.1338 -13.8987 -13.7028
  0.4037 -14.3678 -14.1446 -13.9085 -13.7120
  0.4055 -14.3791 -14.1554 -13.9183 -13.7213
  0.4073 -14.3904 -14.1662 -13.9281 -13.7306
  0.4092 -14.4016 -14.1769 -13.9379 -13.7399
  0.4110 -14.4127 -14.1874 -13.9478 -13.7492
  0.4129 -14.4239 -14.1980 -13.9577 -13.7585
  0.4148 -14.4352 -14.2086 -13.9677 -13.7679
  0.4166 -14.4465 -14.2193 -13.9777 -13.7772
  0.4185 -14.4576 -14.2301 -13.9876 -13.7865
  0.4204 -14.4688 -14.2409 -13.9976 -13.7958
  0.4223 -14.4800 -14.2519 -14.0077 -13.8051
  0.4242 -14.4912 -14.2629 -14.0179 -13.8146
  0.4262 -14.5023 -14.2740 -14.0283 -13.8243
  0.4281 -14.5134 -14.2852 -14.0388 -13.8340
  0.4300 -14.5255 -14.2970 -14.0498 -13.8446
  0.4320 -14.5381 -14.3090 -14.0610 -13.8556
  0.4339 -14.5507 -14.3211 -14.0723 -13.8667
  0.4359 -14.5634 -14.3332 -14.0837 -13.8778
  0.4379 -14.5752 -14.3445 -14.0941 -13.8878
  0.4398 -14.5852 -14.3540 -14.1027 -13.8958
  0.4418 -14.5952 -14.3636 -14.1113 -13.9038
  0.4438 -14.6053 -14.3732 -14.1200 -13.9118
  0.4458 -14.6154 -14.3828 -14.1287 -13.9199
  0.4478 -14.6258 -14.3927 -14.1379 -13.9283
  0.4499 -14.6364 -14.4028 -14.1472 -13.9368
  0.4519 -14.6470 -14.4129 -14.1565 -13.9454
  0.4540 -14.6577 -14.4231 -14.1660 -13.9540
  0.4560 -14.6682 -14.4334 -14.1754 -13.9629
  0.4581 -14.6789 -14.4437 -14.1850 -13.9718
  0.4601 -14.6896 -14.4540 -14.1945 -13.9809
  0.4622 -14.7003 -14.4644 -14.2042 -13.9899
  0.4643 -14.7111 -14.4747 -14.2138 -13.9990
  0.4664 -14.7218 -14.4849 -14.2233 -14.0081
  0.4685 -14.7326 -14.4952 -14.2330 -14.0172
  0.4706 -14.7435 -14.5055 -14.2426 -14.0264
  0.4728 -14.7544 -14.5158 -14.2523 -14.0357
  0.4749 -14.7653 -14.5263 -14.2621 -14.0449
  0.4771 -14.7763 -14.5367 -14.2719 -14.0542
  0.4792 -14.7868 -14.5467 -14.2814 -14.0632
  0.4814 -14.7974 -14.5568 -14.2910 -14.0723
  0.4836 -14.8081 -14.5670 -14.3006 -14.0814
  0.4858 -14.8188 -14.5772 -14.3102 -14.0905
  0.4880 -14.8295 -14.5874 -14.3198 -14.0997
  0.4902 -14.8399 -14.5973 -14.3290 -14.1083
  0.4924 -14.8505 -14.6074 -14.3382 -14.1170
  0.4946 -14.8610 -14.6174 -14.3474 -14.1257
  0.4968 -14.8716 -14.6275 -14.3567 -14.1345
  0.4991 -14.8823 -14.6377 -14.3660 -14.1433
  0.5014 -14.8928 -14.6476 -14.3753 -14.1519
  0.5036 -14.9032 -14.6574 -14.3846 -14.1605
  0.5059 -14.9136 -14.6672 -14.3939 -14.1691
  0.5082 -14.9241 -14.6771 -14.4032 -14.1778
  0.5105 -14.9344 -14.6871 -14.4125 -14.1866
  0.5128 -14.9435 -14.6980 -14.4218 -14.1964
  0.5151 -14.9547 -14.7089 -14.4320 -14.2062
  0.5174 -14.9659 -14.7199 -14.4423 -14.2161
  0.5198 -14.9771 -14.7309 -14.4526 -14.2260
  0.5221 -14.9884 -14.7419 -14.4629 -14.2360
  0.5245 -14.9998 -14.7530 -14.4733 -14.2460
  0.5269 -15.0112 -14.7642 -14.4838 -14.2561
  0.5293 -15.0213 -14.7737 -14.4927 -14.2644
  0.5317 -15.0309 -14.7826 -14.5009 -14.2720
  0.5341 -15.0405 -14.7914 -14.5092 -14.2795
  0.5365 -15.0501 -14.8003 -14.5175 -14.2871
  0.5389 -15.0598 -14.8093 -14.5258 -14.2948
  0.5413 -15.0696 -14.8186 -14.5345 -14.3029
  0.5438 -15.0794 -14.8281 -14.5434 -14.3113
  0.5463 -15.0893 -14.8377 -14.5522 -14.3196
  0.5487 -15.0992 -14.8473 -14.5611 -14.3280
  0.5512 -15.1092 -14.8569 -14.5701 -14.3365
  0.5537 -15.1191 -14.8664 -14.5789 -14.3448
  0.5562 -15.1291 -14.8759 -14.5878 -14.3532
  0.5587 -15.1391 -14.8854 -14.5967 -14.3616
  0.5613 -15.1492 -14.8950 -14.6056 -14.3701
  0.5638 -15.1593 -14.9046 -14.6146 -14.3786
  0.5663 -15.1693 -14.9140 -14.6236 -14.3870
  0.5689 -15.1793 -14.9235 -14.6325 -14.3954
  0.5715 -15.1894 -14.9331 -14.6416 -14.4038
  0.5741 -15.1994 -14.9426 -14.6505 -14.4122
  0.5767 -15.2093 -14.9522 -14.6594 -14.4206
  0.5793 -15.2192 -14.9618 -14.6684 -14.4291
  0.5819 -15.2292 -14.9714 -14.6774 -14.4375
  0.5845 -15.2392 -14.9811 -14.6864 -14.4460
  0.5872 -15.2491 -14.9905 -14.6953 -14.4546
  0.5898 -15.2590 -14.9998 -14.7042 -14.4632
  0.5925 -15.2689 -15.0093 -14.7132 -14.4718
  0.5952 -15.2789 -15.0187 -14.7222 -14.4805
  0.5979 -15.2890 -15.0283 -14.7312 -14.4892
  0.6006 -15.2985 -15.0376 -14.7399 -14.4975
  0.6033 -15.3079 -15.0469 -14.7484 -14.5058
  0.6060 -15.3174 -15.0562 -14.7570 -14.5141
  0.6088 -15.3269 -15.0656 -14.7657 -14.5224
  0.6115 -15.3365 -15.0750 -14.7744 -14.5308
  0.6143 -15.3460 -15.0844 -14.7831 -14.5392
  0.6171 -15.3557 -15.0936 -14.7919 -14.5475
  0.6199 -15.3653 -15.1029 -14.8008 -14.5559
  0.6227 -15.3750 -15.1121 -14.8097 -14.5642
  0.6255 -15.3848 -15.1215 -14.8186 -14.5727
  0.6283 -15.3946 -15.1308 -14.8276 -14.5812
  0.6311 -15.4044 -15.1402 -14.8366 -14.5897
  0.6340 -15.4165 -15.1518 -14.8469 -14.6000
  0.6369 -15.4279 -15.1628 -14.8566 -14.6098
  0.6398 -15.4367 -15.1713 -14.8647 -14.6175
  0.6427 -15.4456 -15.1798 -14.8728 -14.6252
  0.6456 -15.4545 -15.1884 -14.8810 -14.6329
  0.6485 -15.4634 -15.1970 -14.8892 -14.6407
  0.6514 -15.4724 -15.2057 -14.8974 -14.6486
  0.6544 -15.4814 -15.2144 -14.9057 -14.6565
  0.6573 -15.4905 -15.2232 -14.9140 -14.6644
  0.6603 -15.4992 -15.2315 -14.9219 -14.6718
  0.6633 -15.5077 -15.2396 -14.9295 -14.6789
  0.6663 -15.5163 -15.2477 -14.9371 -14.6861
  0.6693 -15.5249 -15.2559 -14.9448 -14.6933
  0.6723 -15.5335 -15.2641 -14.9525 -14.7005
  0.6754 -15.5422 -15.2723 -14.9603 -14.7078
  0.6784 -15.5510 -15.2806 -14.9681 -14.7151
  0.6815 -15.5597 -15.2889 -14.9759 -14.7224
  0.6846 -15.5685 -15.2973 -14.9837 -14.7298
  0.6877 -15.5774 -15.3056 -14.9916 -14.7372
  0.6908 -15.5860 -15.3139 -14.9994 -14.7446
  0.6939 -15.5946 -15.3221 -15.0072 -14.7519
  0.6971 -15.6032 -15.3304 -15.0150 -14.7593
  0.7002 -15.6118 -15.3386 -15.0228 -14.7668
  0.7034 -15.6205 -15.3470 -15.0307 -14.7743
  0.7066 -15.6293 -15.3553 -15.0386 -14.7818
  0.7098 -15.6380 -15.3637 -15.0466 -14.7893
  0.7130 -15.6468 -15.3722 -15.0545 -14.7969
  0.7162 -15.6557 -15.3806 -15.0626 -14.8045
  0.7194 -15.6646 -15.3891 -15.0706 -14.8122
  0.7227 -15.6715 -15.3956 -15.0765 -14.8172
  0.7260 -15.6716 -15.3944 -15.0746 -14.8126
  0.7292 -15.6716 -15.3932 -15.0727 -14.8079
  0.7325 -15.6786 -15.3996 -15.0786 -14.8128
  0.7359 -15.6891 -15.4098 -15.0885 -14.8226
  0.7392 -15.6996 -15.4201 -15.0985 -14.8323
  0.7425 -15.7102 -15.4305 -15.1085 -14.8421
  0.7459 -15.7209 -15.4409 -15.1186 -14.8520
  0.7493 -15.7316 -15.4513 -15.1287 -14.8619
  0.7527 -15.7423 -15.4618 -15.1389 -14.8718
  0.7561 -15.7525 -15.4717 -15.1484 -14.8811
  0.7595 -15.7601 -15.4792 -15.1555 -14.8879
  0.7629 -15.7678 -15.4866 -15.1626 -14.8946
  0.7664 -15.7756 -15.4942 -15.1698 -14.9014
  0.7698 -15.7834 -15.5017 -15.1770 -14.9083
  0.7733 -15.7912 -15.5093 -15.1843 -14.9151
  0.7768 -15.7990 -15.5169 -15.1915 -14.9220
  0.7803 -15.8069 -15.5246 -15.1988 -14.9289
  0.7839 -15.8148 -15.5323 -15.2062 -14.9359
  0.7874 -15.8227 -15.5400 -15.2136 -14.9429
  0.7910 -15.8307 -15.5478 -15.2210 -14.9499
  0.7946 -15.8387 -15.5556 -15.2284 -14.9570
  0.7981 -15.8468 -15.5634 -15.2359 -14.9640
  0.8018 -15.8549 -15.5713 -15.2434 -14.9712
  0.8054 -15.8630 -15.5792 -15.2509 -14.9783
  0.8090 -15.8712 -15.5871 -15.2585 -14.9855
  0.8127 -15.8794 -15.5951 -15.2661 -14.9927
  0.8164 -15.8876 -15.6031 -15.2737 -14.9999
  0.8201 -15.8959 -15.6112 -15.2814 -15.0072
  0.8238 -15.9042 -15.6193 -15.2891 -15.0145
  0.8275 -15.9126 -15.6274 -15.2969 -15.0219
  0.8312 -15.9210 -15.6356 -15.3047 -15.0293
  0.8350 -15.9294 -15.6438 -15.3125 -15.0367
  0.8388 -15.9379 -15.6520 -15.3203 -15.0441
  0.8426 -15.9464 -15.6603 -15.3282 -15.0516
  0.8464 -15.9549 -15.6686 -15.3361 -15.0591
  0.8502 -15.9625 -15.6760 -15.3433 -15.0659
  0.8541 -15.9699 -15.6832 -15.3503 -15.0726
  0.8579 -15.9773 -15.6905 -15.3573 -15.0793
  0.8618 -15.9848 -15.6978 -15.3644 -15.0860
  0.8657 -15.9922 -15.7052 -15.3715 -15.0927
  0.8696 -15.9998 -15.7125 -15.3786 -15.0995
  0.8736 -16.0073 -15.7200 -15.3858 -15.1064
  0.8775 -16.0149 -15.7274 -15.3930 -15.1132
  0.8815 -16.0225 -15.7349 -15.4002 -15.1201
  0.8855 -16.0302 -15.7424 -15.4075 -15.1270
  0.8895 -16.0379 -15.7499 -15.4148 -15.1339
  0.8935 -16.0456 -15.7575 -15.4221 -15.1409
