|  obsdate |   mag | e_mag | magsys | filter | depth_5sig | zp | observatory | detected | A_filter |
| 59538.19 | 13.19 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59538.19 |  13.4 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59538.19 | 12.75 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59538.19 | 12.71 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59538.19 | 12.69 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59538.39 | 13.15 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59538.39 | 12.66 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59538.39 | 12.72 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59538.39 | 13.36 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59538.39 | 12.74 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59538.39 | 12.66 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59539.29 | 13.04 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59539.29 | 12.52 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59539.29 | 13.17 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59539.29 |  12.6 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59539.29 | 12.52 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59539.39 | 12.58 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59539.39 | 12.58 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59539.39 |  12.5 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59539.49 | 13.12 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59539.49 |  12.5 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59539.49 | 13.01 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59540.19 | 12.49 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59540.19 |  12.9 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59540.19 | 12.98 |  0.01 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59540.19 | 12.38 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59540.19 | 12.46 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59540.19 |  12.4 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59540.39 | 12.38 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59540.39 | 12.46 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59540.39 | 12.92 |  0.02 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59540.39 | 12.35 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59540.39 | 12.86 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
| 59540.39 | 12.44 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59541.19 | 12.26 |  0.01 |     AB |      g |            |    |       Swope |     True |    -0.03 |
| 59541.19 | 12.36 |  0.01 |   Vega |      V |            |    |       Swope |     True |   -0.024 |
| 59541.19 | 12.27 |  0.01 |   Vega |      B |            |    |       Swope |     True |   -0.033 |
| 59541.19 | 12.82 |  0.05 |     AB |      u |            |    |       Swope |     True |   -0.038 |
| 59541.19 |  12.4 |  0.01 |     AB |      r |            |    |       Swope |     True |    -0.02 |
| 59541.19 | 12.81 |  0.01 |     AB |      i |            |    |       Swope |     True |   -0.015 |
