|   obsdate |    mag | e_mag | magsys |  filter | depth_5sig | zp |    observatory | detected | A_filter |
| 59530.808 | 15.972 |  0.02 |   Vega |       B |            |    |   LasCumbres1m |     True |   -0.325 |
| 59530.811 | 15.982 |  0.02 |   Vega |       B |            |    |   LasCumbres1m |     True |   -0.325 |
| 59530.813 | 15.497 |  0.02 |   Vega |       V |            |    |   LasCumbres1m |     True |   -0.219 |
| 59530.815 | 15.507 |  0.02 |   Vega |       V |            |    |   LasCumbres1m |     True |   -0.219 |
| 59530.817 | 15.582 |  0.02 |     AB |       g |            |    |   LasCumbres1m |     True |   -0.288 |
|  59530.82 | 15.582 |  0.02 |     AB |       g |            |    |   LasCumbres1m |     True |   -0.288 |
| 59530.822 | 15.487 |  0.02 |     AB |       r |            |    |   LasCumbres1m |     True |   -0.173 |
| 59530.824 | 15.477 |  0.01 |     AB |       r |            |    |   LasCumbres1m |     True |   -0.173 |
| 59530.826 | 15.981 |  0.02 |     AB |       i |            |    |   LasCumbres1m |     True |   -0.124 |
| 59530.828 | 16.041 |  0.02 |     AB |       i |            |    |   LasCumbres1m |     True |   -0.124 |
| 59531.154 |  15.52 |  0.01 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
|  59531.28 |  15.46 |   0.0 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59531.286 |  18.17 |  0.18 |     AB |    UVW1 |            |    |          Swift |     True |    -99.9 |
| 59531.288 |  16.74 |  0.09 |   Vega |     U_S |            |    |          Swift |     True |    -99.9 |
| 59531.289 |  16.06 |  0.06 |   Vega |     B_S |            |    |          Swift |     True |    -99.9 |
|  59531.29 |  19.67 | 100.0 |     AB |    UVW2 |            |    |          Swift |     True |    -99.9 |
| 59531.294 |  15.43 |  0.06 |   Vega |     V_S |            |    |          Swift |     True |    -99.9 |
| 59531.295 |  20.17 | 100.0 |     AB |    UVM2 |            |    |          Swift |     True |    -99.9 |
| 59531.522 |  15.36 |  0.01 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59531.621 | 15.546 |  0.02 |   Vega |       U |            |    |   LasCumbres1m |     True |   -0.387 |
| 59531.621 | 15.442 |  0.04 |   Vega |       B |            |    | LasCumbres0.4m |     True |   -0.325 |
| 59531.623 | 15.372 |  0.04 |   Vega |       B |            |    | LasCumbres0.4m |     True |   -0.325 |
| 59531.624 | 15.556 |  0.02 |   Vega |       U |            |    |   LasCumbres1m |     True |   -0.387 |
| 59531.626 | 14.937 |  0.03 |   Vega |       V |            |    | LasCumbres0.4m |     True |   -0.219 |
| 59531.626 |  15.28 |  0.01 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59531.627 | 14.937 |  0.03 |   Vega |       V |            |    | LasCumbres0.4m |     True |   -0.219 |
| 59531.628 | 15.522 |  0.01 |   Vega |       B |            |    |   LasCumbres1m |     True |   -0.325 |
| 59531.629 | 15.042 |  0.02 |     AB |       g |            |    | LasCumbres0.4m |     True |   -0.288 |
| 59531.631 | 15.512 |  0.01 |   Vega |       B |            |    |   LasCumbres1m |     True |   -0.325 |
| 59531.632 | 15.042 |  0.03 |     AB |       g |            |    | LasCumbres0.4m |     True |   -0.288 |
| 59531.634 | 14.987 |  0.01 |   Vega |       V |            |    |   LasCumbres1m |     True |   -0.219 |
| 59531.634 | 14.917 |  0.02 |     AB |       r |            |    | LasCumbres0.4m |     True |   -0.173 |
