ObjectId,RAICRS,DEICRS,Niflags,flags,Ngood,Ngoodu,Ngoodv,Ngoodg,Ngoodr,Ngoodi,Ngoodz,ClassStar,uPSF,e_uPSF,vPSF,e_vPSF,gPSF,e_gPSF,rPSF,e_rPSF,iPSF,e_iPSF,zPSF,e_zPSF
10821616,42.641987,-31.229398,4,0,53,7,6,8,9,12,11,0.993,17.6005,0.0183,17.2449,0.0152,15.5967,0.0067,15.1353,0.0064,14.8533,0.0052,14.7467,0.0061
10821674,42.631960,-31.228623,1,0,48,2,4,8,10,13,11,0.985,19.0913,0.0502,18.7583,0.0365,16.5493,0.0094,15.9230,0.0070,15.5284,0.0055,15.3667,0.0065
10821614,42.656181,-31.230705,5,0,70,6,6,17,22,10,9,0.997,15.8256,0.0135,15.4596,0.0130,14.3260,0.0035,14.0395,0.0032,13.8846,0.0055,13.8557,0.0068
10822090,42.710336,-31.215092,11,0,42,0,0,13,18,7,4,0.976,,,,,19.6375,0.0333,19.1319,0.0135,18.7853,0.0408,18.6933,0.0632
10822135,42.692000,-31.205030,0,0,57,0,2,16,21,9,9,0.983,,,19.4763,0.0690,17.9681,0.0048,17.5542,0.0040,17.2912,0.0080,17.1966,0.0164
10821615,42.647490,-31.233185,0,0,33,0,0,4,8,10,11,0.982,,,,,19.3980,0.0156,18.5292,0.0106,17.3803,0.0142,16.9222,0.0097
10821677,42.637710,-31.212794,0,0,17,0,0,2,3,7,5,0.976,,,,,19.8325,0.0250,19.0474,0.0197,18.5056,0.0163,18.1702,0.0256
10821682,42.653735,-31.213200,5,0,53,0,0,12,20,11,10,0.983,,,,,18.7031,0.0087,17.8072,0.0045,16.5508,0.0073,16.0530,0.0076
10821668,42.578832,-31.238819,0,0,29,0,0,9,16,3,1,0.579,,,,,19.8874,0.0453,19.4189,0.0509,19.0537,0.1716,18.8110,0.2287
10821669,42.587633,-31.225740,7,0,36,0,0,13,17,5,1,0.972,,,,,19.4739,0.0092,19.2848,0.0132,19.0854,0.0411,19.0751,0.0455
10821673,42.580274,-31.209196,12,0,76,4,5,19,24,13,11,0.986,18.2012,0.0273,17.8958,0.0168,16.6206,0.0039,16.2762,0.0034,16.0671,0.0059,16.0042,0.0074
10821685,42.570970,-31.193779,4,0,37,0,0,13,18,4,2,0.603,,,,,19.3116,0.0526,18.9000,0.0495,18.5701,0.1061,18.3539,0.2924
10821696,42.624729,-31.173418,0,0,33,0,0,5,8,10,10,0.982,,,,,19.4589,0.0254,18.4856,0.0135,16.9337,0.0081,16.3269,0.0083
10821689,42.598452,-31.172442,0,0,59,0,3,18,22,9,7,0.988,,,19.5466,0.0542,17.3316,0.0053,16.6565,0.0063,16.2186,0.0132,16.0022,0.0170
10821690,42.589004,-31.172870,10,0,55,1,3,15,21,8,7,0.555,18.2981,0.4164,17.9174,0.2101,17.5166,0.0527,17.2893,0.0538,17.3197,0.0929,17.1126,0.0993
10821699,42.639976,-31.145052,8,0,48,7,7,6,9,10,9,0.999,14.8638,0.0121,14.4853,0.0119,13.4351,0.0081,13.1818,0.0063,13.0580,0.0058,13.0499,0.0069
10821628,42.460859,-31.252066,0,0,26,0,0,8,16,2,0,0.595,,,,,19.9015,0.0710,19.3712,0.0608,19.0450,0.2395,,
10821635,42.435396,-31.239285,11,0,84,7,8,20,25,13,11,0.998,16.4695,0.0147,16.1414,0.0127,14.9476,0.0034,14.6431,0.0031,14.4691,0.0050,14.4338,0.0061
10821636,42.452048,-31.239400,2,0,38,0,0,13,18,5,2,0.701,,,,,19.5757,0.0208,19.1501,0.0329,18.7597,0.0601,18.5417,0.1685
10821637,42.456743,-31.223598,0,0,48,0,0,11,18,9,10,0.981,,,,,19.8596,0.0141,18.9374,0.0113,17.5843,0.0118,17.0692,0.0110
10821639,42.467068,-31.234089,0,0,49,3,4,14,17,6,5,0.978,19.0676,0.0444,19.1165,0.0406,18.9346,0.0233,18.8161,0.0195,18.3729,0.0235,18.2905,0.0340
10821631,42.514246,-31.222891,0,0,30,0,0,13,15,2,0,0.962,,,,,19.7766,0.0143,19.5879,0.0153,19.4575,0.0323,,
