RA_ICRS,DE_ICRS,Bmag,BFlag,Vmag,VFlag,Rmag,RFlag,gmag,gFlag,rmag,rFlag,imag,iFlag,e_Bmag,e_Vmag,e_Rmag,e_gmag,e_rmag,e_imag
42.72198051120,-31.11354757377,17.042011,1,16.266499,1,15.826368,1,16.593754,1,16.021404,1,15.826779,1,0.02,0.02,0.02,0.02,0.02,0.02
42.73134811828,-31.09946726119,17.970303,1,17.155771,1,16.678850,1,17.507790,1,16.879278,1,16.664310,1,0.02,0.02,0.02,0.02,0.02,0.02
42.70763670267,-31.10602713025,16.582788,1,15.570362,1,14.939944,1,16.059925,1,15.166846,1,14.853194,1,0.02,0.02,0.02,0.02,0.02,0.02
42.73376890705,-31.07657547134,17.295044,1,16.767080,1,16.437908,1,16.960701,1,16.609964,1,16.505215,1,0.02,0.02,0.02,0.02,0.02,0.02
42.69020332727,-31.07705752523,18.416628,1,17.459509,1,16.889605,1,17.908857,1,17.106964,1,16.827986,1,0.02,0.02,0.02,0.02,0.02,0.02
42.65793166997,-31.07380246524,18.864480,1,17.685220,1,16.951942,1,18.281828,1,17.203003,1,16.790188,1,0.02,0.02,0.02,0.02,0.02,0.02
42.70395664605,-31.03100558542,17.366468,1,16.803380,1,16.446827,1,17.016415,1,16.625849,1,16.489880,1,0.02,0.02,0.02,0.02,0.02,0.02
42.65909043883,-31.03642972140,18.270416,1,17.300745,1,16.707485,1,17.750378,1,16.927654,1,16.636060,1,0.02,0.02,0.02,0.02,0.02,0.02
42.60658372474,-31.03673153625,17.347637,1,16.346287,1,15.724203,1,16.824840,1,15.950684,1,15.639592,1,0.02,0.02,0.02,0.02,0.02,0.02
42.55391625750,-31.02918080833,13.778996,1,13.138136,1,12.770873,1,13.387493,0,12.950801,0,12.818179,0,0.02,0.02,0.02,0.02,0.02,0.02
42.62286078251,-30.97651248909,17.890047,1,17.032070,1,16.511942,1,17.429148,1,16.733658,1,16.438118,1,0.02,0.02,0.02,0.02,0.02,0.02
42.73549534792,-30.90326477652,15.788452,1,15.171179,1,14.806829,1,15.408877,1,14.986674,1,14.852161,1,0.02,0.02,0.02,0.02,0.02,0.02
42.72003013714,-30.86970132843,,0,18.694403,0,17.383636,0,19.617190,1,18.002457,1,16.490166,1,0.02,0.02,0.02,0.02,0.02,0.02
42.73790244904,-30.86045674469,18.652850,0,17.213467,1,16.305002,1,17.992073,1,16.620098,1,15.955953,1,0.02,0.02,0.02,0.02,0.02,0.02
42.00987517100,-31.26307807527,16.520370,1,15.575611,1,15.007692,1,16.011640,1,15.224059,1,14.950596,1,0.02,0.02,0.02,0.02,0.02,0.02
42.04099449539,-31.26989722913,15.945531,0,14.441049,1,13.427358,1,15.247457,0,13.833941,0,12.877256,0,0.02,0.02,0.02,0.02,0.02,0.02
42.04334257694,-31.25261642113,15.281932,1,14.564175,1,14.164716,1,14.852997,1,14.347681,1,14.202710,1,0.02,0.02,0.02,0.02,0.02,0.02
42.03559732516,-31.24088715908,13.362380,1,12.880809,1,12.580041,1,13.041209,0,12.747852,0,12.662757,0,0.02,0.02,0.02,0.02,0.02,0.02
41.98827672029,-31.26574663701,15.385920,1,14.707415,1,14.322172,1,14.973868,1,14.504406,1,14.363194,1,0.02,0.02,0.02,0.02,0.02,0.02
42.01368954749,-31.24542556309,,0,18.538671,1,17.450987,1,19.357970,1,17.894499,1,16.821463,1,0.02,0.02,0.02,0.02,0.02,0.02
41.99936530030,-31.23376859046,17.570080,1,16.274876,1,15.444336,1,16.970959,1,15.719981,1,15.216007,1,0.02,0.02,0.02,0.02,0.02,0.02
41.64889941245,-31.24348478511,15.247002,1,14.496551,1,14.058725,1,14.807840,1,14.254299,1,14.060808,1,0.02,0.02,0.02,0.02,0.02,0.02
41.79186342731,-31.26744099660,13.982480,1,13.389282,1,13.038025,1,13.613283,0,13.215179,0,13.093996,0,0.02,0.02,0.02,0.02,0.02,0.02
41.84884022180,-31.24991089558,15.060646,1,14.414025,1,14.044379,1,14.664974,1,14.226246,1,14.086288,1,0.02,0.02,0.02,0.02,0.02,0.02
41.85407184272,-31.23590896844,17.608818,0,16.211918,1,15.296201,1,16.972672,1,15.617685,1,14.934555,1,0.02,0.02,0.02,0.02,0.02,0.02
41.95351516033,-31.25831778502,10.777855,0,10.341556,0,10.068026,0,10.471098,0,10.229986,0,10.172629,0,0.02,0.02,0.02,0.02,0.02,0.02
41.99915139909,-31.21988989106,18.626814,1,17.472110,1,16.731370,1,18.082983,1,16.983297,1,16.560700,1,0.02,0.02,0.02,0.02,0.02,0.02
41.99037409784,-31.19760819436,13.806697,1,13.095810,1,12.704902,1,13.380215,0,12.887024,0,12.747202,0,0.02,0.02,0.02,0.02,0.02,0.02
41.94146879512,-31.22340301566,14.624934,1,13.868840,1,13.443710,1,14.181637,0,13.634521,0,13.459351,0,0.02,0.02,0.02,0.02,0.02,0.02
41.86792441883,-31.23954910094,17.902203,1,17.445436,1,17.128178,1,17.603334,1,17.301426,1,17.192774,1,0.02,0.02,0.02,0.02,0.02,0.02
41.85806093280,-31.22973216685,17.573147,0,17.254871,1,17.037159,1,17.323818,1,17.190134,1,17.163797,1,0.02,0.02,0.02,0.02,0.02,0.02
41.80553932778,-31.22772105319,18.521920,1,17.358126,1,16.614058,1,17.953950,1,16.860966,1,16.463844,1,0.02,0.02,0.02,0.02,0.02,0.02
41.75708163633,-31.21780282406,17.482588,1,16.795061,1,16.378710,1,17.068815,1,16.571949,1,16.384373,1,0.02,0.02,0.02,0.02,0.02,0.02
41.78484499755,-31.19774505985,16.432438,1,15.120467,1,14.290952,1,15.823928,1,14.564486,1,14.068769,1,0.02,0.02,0.02,0.02,0.02,0.02
41.69887118222,-31.18479997924,17.780197,1,17.047262,1,16.611713,1,17.342829,1,16.803606,1,16.629168,1,0.02,0.02,0.02,0.02,0.02,0.02
41.74978579302,-31.16464106248,,0,18.313002,1,17.239574,1,19.129410,1,17.680067,1,16.620281,1,0.02,0.02,0.02,0.02,0.02,0.02
41.87202565696,-31.16969531681,13.654587,1,13.007699,1,12.636812,1,13.257765,0,12.817322,0,12.684015,0,0.02,0.02,0.02,0.02,0.02,0.02
41.83390360245,-31.13657464968,15.446158,1,14.890995,1,14.548354,1,15.093637,1,14.727281,1,14.596210,1,0.02,0.02,0.02,0.02,0.02,0.02
41.87622065773,-31.15084928109,16.458187,1,15.832631,1,15.463455,1,16.073277,1,15.646959,1,15.500446,1,0.02,0.02,0.02,0.02,0.02,0.02
41.89532070531,-31.11320011870,14.882958,1,14.074969,1,13.611972,1,14.422640,0,13.818533,0,13.582075,0,0.02,0.02,0.02,0.02,0.02,0.02
41.89933227317,-31.12070132627,16.514812,1,15.814610,1,15.395658,1,16.098549,1,15.586486,1,15.404649,1,0.02,0.02,0.02,0.02,0.02,0.02
41.78034495438,-31.14822179850,15.401403,1,14.803155,1,14.449940,1,15.030358,1,14.629142,1,14.499206,1,0.02,0.02,0.02,0.02,0.02,0.02
41.82395784940,-31.12148276931,16.214386,1,15.589920,1,15.229575,1,15.827390,1,15.410369,1,15.273236,1,0.02,0.02,0.02,0.02,0.02,0.02
41.81663594998,-31.11042110841,19.075577,0,17.634117,1,16.705002,1,18.419672,1,17.029436,1,16.346039,1,0.02,0.02,0.02,0.02,0.02,0.02
41.76809657483,-31.11401168719,19.290478,0,17.729069,1,16.601547,1,18.546864,1,17.069962,1,15.933622,1,0.02,0.02,0.02,0.02,0.02,0.02
41.32066546640,-31.26840947422,19.427942,0,17.929260,1,16.903751,1,18.748838,1,17.309460,1,16.349676,1,0.02,0.02,0.02,0.02,0.02,0.02
40.97732542316,-31.25043497227,18.295074,0,17.365114,1,16.360874,1,17.975449,1,16.704971,1,15.996355,1,0.02,0.02,0.02,0.02,0.02,0.02
40.92604353558,-31.26882298241,18.131964,1,17.417719,1,16.975342,1,17.710718,1,17.175653,1,16.961348,1,0.02,0.02,0.02,0.02,0.02,0.02
41.16887269870,-31.26565060091,17.742155,1,16.958248,1,16.493162,1,17.291780,1,16.692537,1,16.479092,1,0.02,0.02,0.02,0.02,0.02,0.02
41.15897190013,-31.26791020133,18.003729,1,17.449326,1,17.100328,1,17.655579,1,17.278868,1,17.142199,1,0.02,0.02,0.02,0.02,0.02,0.02
41.20821292995,-31.25957685256,18.939602,1,17.666437,1,16.851244,1,18.348528,1,17.119896,1,16.635279,1,0.02,0.02,0.02,0.02,0.02,0.02
41.28913911931,-31.22552671758,19.123169,1,17.818493,1,17.017210,1,18.512436,1,17.279268,1,16.819190,1,0.02,0.02,0.02,0.02,0.02,0.02
41.22426118002,-31.21368920542,17.785873,1,16.743086,1,16.122711,1,17.242160,1,16.347430,1,16.045326,1,0.02,0.02,0.02,0.02,0.02,0.02
41.26084894095,-31.19029847021,19.847504,0,18.321186,1,17.346682,1,19.155558,1,17.697966,1,16.905680,1,0.02,0.02,0.02,0.02,0.02,0.02
41.24071284744,-31.18895229209,16.570387,1,15.535978,1,14.895796,1,16.035767,1,15.122611,1,14.806930,1,0.02,0.02,0.02,0.02,0.02,0.02
41.04898258175,-31.26195646658,13.676993,1,13.298291,1,13.050615,1,13.397076,0,13.207118,0,13.171176,0,0.02,0.02,0.02,0.02,0.02,0.02
41.03499023706,-31.22660726172,17.056234,1,16.101004,1,15.528753,1,16.539660,1,15.746919,1,15.466969,1,0.02,0.02,0.02,0.02,0.02,0.02
41.00175469156,-31.24176873842,15.752146,1,15.065462,1,14.649024,1,15.345077,1,14.839488,1,14.661634,1,0.02,0.02,0.02,0.02,0.02,0.02
40.98764877203,-31.23801516548,18.558697,1,17.692148,1,17.149017,1,18.085660,1,17.360033,1,17.103890,1,0.02,0.02,0.02,0.02,0.02,0.02
40.99858419089,-31.20281996240,16.359531,1,15.636358,1,15.231068,1,15.928255,1,15.417139,1,15.260720,1,0.02,0.02,0.02,0.02,0.02,0.02
41.01237503829,-31.19986251746,16.018604,1,15.290121,1,14.855386,1,15.591065,1,15.053602,1,14.848885,1,0.02,0.02,0.02,0.02,0.02,0.02
