|  obsdate | filter |    mag | e_mag | observatory |   status | [mag_cor-mag_origin] |
| 59536.49 |      V | 13.224 |  0.01 |       Swope | detected |                -99.9 |
| 59537.19 |      V | 13.014 |  0.01 |       Swope | detected |                -99.9 |
| 59537.39 |      V | 12.964 |  0.01 |       Swope | detected |                -99.9 |
| 59538.19 |      V | 12.794 |  0.01 |       Swope | detected |                -99.9 |
| 59538.39 |      V | 12.764 |  0.01 |       Swope | detected |                -99.9 |
| 59539.29 |      V | 12.644 |  0.01 |       Swope | detected |                -99.9 |
| 59539.39 |      V | 12.624 |  0.01 |       Swope | detected |                -99.9 |
| 59540.19 |      V | 12.504 |  0.01 |       Swope | detected |                -99.9 |
| 59540.39 |      V | 12.484 |  0.01 |       Swope | detected |                -99.9 |
| 59541.19 |      V | 12.404 |  0.01 |       Swope | detected |                -99.9 |
| 59530.39 |      r |  16.07 |  0.01 |       Swope | detected |                -99.9 |
| 59530.59 |      r |  15.96 |  0.01 |       Swope | detected |                -99.9 |
| 59531.39 |      r |  15.43 |  0.01 |       Swope | detected |                -99.9 |
| 59532.29 |      r |  14.93 |  0.01 |       Swope | detected |                -99.9 |
| 59532.49 |      r |  14.79 |  0.01 |       Swope | detected |                -99.9 |
| 59533.29 |      r |  14.39 |  0.01 |       Swope | detected |                -99.9 |
| 59534.29 |      r |  13.97 |  0.01 |       Swope | detected |                -99.9 |
| 59534.49 |      r |  13.87 |  0.01 |       Swope | detected |                -99.9 |
| 59535.29 |      r |  13.59 |  0.01 |       Swope | detected |                -99.9 |
| 59535.49 |      r |  13.51 |  0.01 |       Swope | detected |                -99.9 |
| 59536.29 |      r |  13.27 |  0.01 |       Swope | detected |                -99.9 |
| 59536.49 |      r |   13.2 |  0.01 |       Swope | detected |                -99.9 |
| 59537.19 |      r |  12.99 |  0.01 |       Swope | detected |                -99.9 |
| 59538.19 |      r |  12.79 |  0.01 |       Swope | detected |                -99.9 |
| 59538.39 |      r |  12.76 |  0.01 |       Swope | detected |                -99.9 |
| 59539.39 |      r |   12.6 |  0.01 |       Swope | detected |                -99.9 |
| 59540.19 |      r |  12.51 |  0.01 |       Swope | detected |                -99.9 |
| 59540.39 |      r |  12.48 |  0.01 |       Swope | detected |                -99.9 |
| 59541.19 |      r |  12.42 |  0.01 |       Swope | detected |                -99.9 |
| 59530.39 |      i | 16.585 |  0.01 |       Swope | detected |                -99.9 |
| 59530.59 |      i | 16.485 |  0.01 |       Swope | detected |                -99.9 |
| 59531.39 |      i | 16.055 |  0.01 |       Swope | detected |                -99.9 |
| 59532.29 |      i | 15.555 |  0.01 |       Swope | detected |                -99.9 |
| 59532.49 |      i | 15.415 |  0.02 |       Swope | detected |                -99.9 |
| 59533.29 |      i | 15.005 |  0.01 |       Swope | detected |                -99.9 |
| 59533.49 |      i | 14.915 |  0.01 |       Swope | detected |                -99.9 |
| 59534.29 |      i | 14.545 |  0.01 |       Swope | detected |                -99.9 |
| 59534.49 |      i | 14.425 |  0.01 |       Swope | detected |                -99.9 |
| 59535.29 |      i | 14.135 |  0.01 |       Swope | detected |                -99.9 |
| 59535.49 |      i | 14.045 |  0.01 |       Swope | detected |                -99.9 |
| 59536.29 |      i | 13.765 |  0.01 |       Swope | detected |                -99.9 |
| 59536.49 |      i | 13.675 |  0.01 |       Swope | detected |                -99.9 |
| 59537.19 |      i | 13.435 |  0.01 |       Swope | detected |                -99.9 |
| 59537.39 |      i | 13.415 |  0.01 |       Swope | detected |                -99.9 |
| 59538.19 |      i | 13.205 |  0.01 |       Swope | detected |                -99.9 |
| 59538.39 |      i | 13.165 |  0.01 |       Swope | detected |                -99.9 |
| 59539.29 |      i | 13.055 |  0.01 |       Swope | detected |                -99.9 |
| 59539.49 |      i | 13.025 |  0.01 |       Swope | detected |                -99.9 |
| 59540.19 |      i | 12.915 |  0.01 |       Swope | detected |                -99.9 |
| 59540.39 |      i | 12.875 |  0.01 |       Swope | detected |                -99.9 |
| 59541.19 |      i | 12.825 |  0.01 |       Swope | detected |                -99.9 |
