obj ra dec priority note dist ebv muvmag maxaxis minaxis
93 195.04 13.88 95510.56 "[264, 1029266, 2398071, 2403729, 22308191]" 100 0 -20 10 10
94 54.06 -35.94 94328.14 "[1150820, 1150877, 1150916, 1156841, 1168331, 1259088, 1263388, 2125657]" 100 0 -20 10 10
95 146.28 -21.1 94301.74 "[1150843, 1171414, 1261661, 2217233, 2222131]" 100 0 -20 10 10
96 37.1 -0.96 92771.86 "[1150804, 1157227, 1261274, 1264712, 1328816, 2097993]" 100 0 -20 10 10
97 339.2 23.42 92210.664 "[323, 88584, 1024504]" 100 0 -20 10 10
98 224.72 2.22 91826.266 "[236, 322, 88732, 88733, 88734, 89649, 90785, 1032755, 1042890, 1043148, 2508506]" 100 0 -20 10 10
99 198.22 -37.0 91533.94 "[1151480, 1154902, 1157555]" 100 0 -20 10 10
100 339.2 -25.34 90323.31 "[1151600, 1152455, 1326470, 1326478, 2632451, 2632582]" 100 0 -20 10 10
101 269.24 18.12 89929.41 "[1024773, 1024804]" 100 0 -20 10 10
102 144.16 -21.1 88490.31 "[1150935, 1151364, 1329477, 2213329]" 100 0 -20 10 10
103 346.62 12.82 88254.44 "[288, 89509, 1044303]" 100 0 -20 10 10
104 346.62 11.76 88214.63 "[288, 1044303]" 100 0 -20 10 10
105 27.56 6.46 87376.125 "[86679, 1024861]" 100 0 -20 10 10
106 187.62 12.82 86457.71 "[276, 406, 4395, 83427, 83443, 87813, 1024422, 1025083, 1026077, 1042564, 1044143, 2377250, 2379335, 2379484]" 100 0 -20 10 10
107 331.78 -64.56 85742.414 "[1150984, 1153257]" 100 0 -20 10 10
108 51.94 -21.1 85263.37 "[1156142, 1159876, 1171008, 1261111, 1264737, 1328921, 2122500]" 100 0 -20 10 10
109 27.56 27.66 84998.805 "[351, 1900, 1068416]" 100 0 -20 10 10
110 190.8 11.76 84790.06 "[15, 190, 281, 285, 521, 1764, 2180, 83482, 1024523, 1024891, 2384449, 2387318, 2389132]" 100 0 -20 10 10
111 146.28 -14.74 84098.51 "[1151016, 1153136, 1213681, 1333271]" 100 0 -20 10 10
112 200.34 -27.46 83100.41 "[1157803, 1261112, 1261125, 13566802]" 100 0 -20 10 10
113 262.88 7.52 83048.39 "[88323, 1024481]" 100 0 -20 10 10
114 171.72 57.34 82531.66 "[336, 491, 1043710, 2313804, 2313812, 2313843]" 100 0 -20 10 10
115 255.46 23.42 82426.664 "[3606, 1024727, 1044285, 2576911, 2576917]" 100 0 -20 10 10
116 208.82 -26.4 81941.01 "[1151153, 1330151, 2451517]" 100 0 -20 10 10
117 53.0 -33.82 81844.336 "[1150822, 1168325, 1324431, 5872172]" 100 0 -20 10 10
119 187.62 25.54 81741.484 "[87828, 1024442]" 100 0 -20 10 10
120 82.68 -13.68 81741.484 "[1151365, 1329140]" 100 0 -20 10 10
