# t        U        B        V        R       
  0.3824 -13.2982 -13.1442 -12.8727 -12.7020
  0.3841 -13.3065 -13.1524 -12.8807 -12.7101
  0.3859 -13.3197 -13.1663 -12.8949 -12.7253
  0.3876 -13.3250 -13.1704 -12.8983 -12.7273
  0.3894 -13.3326 -13.1778 -12.9054 -12.7342
  0.3911 -13.3405 -13.1854 -12.9129 -12.7416
  0.3929 -13.3486 -13.1934 -12.9207 -12.7495
  0.3947 -13.3568 -13.2014 -12.9287 -12.7575
  0.3965 -13.3649 -13.2094 -12.9366 -12.7655
  0.3982 -13.3734 -13.2179 -12.9450 -12.7738
  0.4001 -13.3815 -13.2259 -12.9528 -12.7816
  0.4019 -13.3897 -13.2339 -12.9607 -12.7895
  0.4037 -13.3980 -13.2420 -12.9687 -12.7975
  0.4055 -13.4062 -13.2500 -12.9767 -12.8055
  0.4073 -13.4143 -13.2581 -12.9846 -12.8134
  0.4092 -13.4224 -13.2660 -12.9925 -12.8214
  0.4110 -13.4306 -13.2740 -13.0004 -12.8293
  0.4129 -13.4392 -13.2826 -13.0088 -12.8377
  0.4148 -13.4472 -13.2905 -13.0166 -12.8455
  0.4166 -13.4553 -13.2984 -13.0244 -12.8534
  0.4185 -13.4635 -13.3064 -13.0323 -12.8613
  0.4204 -13.4717 -13.3145 -13.0402 -12.8692
  0.4223 -13.4799 -13.3225 -13.0482 -12.8772
  0.4242 -13.4881 -13.3305 -13.0561 -12.8851
  0.4262 -13.4967 -13.3391 -13.0644 -12.8934
  0.4281 -13.5045 -13.3467 -13.0719 -12.9010
  0.4300 -13.5124 -13.3545 -13.0796 -12.9086
  0.4320 -13.5203 -13.3623 -13.0873 -12.9164
  0.4339 -13.5284 -13.3702 -13.0951 -12.9242
  0.4359 -13.5430 -13.3849 -13.1097 -12.9394
  0.4379 -13.5481 -13.3897 -13.1140 -12.9430
  0.4398 -13.5552 -13.3964 -13.1205 -12.9492
  0.4418 -13.5627 -13.4036 -13.1276 -12.9563
  0.4438 -13.5705 -13.4112 -13.1351 -12.9638
  0.4458 -13.5784 -13.4190 -13.1428 -12.9715
  0.4478 -13.5866 -13.4272 -13.1508 -12.9795
  0.4499 -13.5946 -13.4350 -13.1584 -12.9872
  0.4519 -13.6027 -13.4428 -13.1661 -12.9949
  0.4540 -13.6107 -13.4507 -13.1738 -13.0027
  0.4560 -13.6188 -13.4586 -13.1816 -13.0105
  0.4581 -13.6269 -13.4665 -13.1894 -13.0183
  0.4601 -13.6350 -13.4744 -13.1972 -13.0260
  0.4622 -13.6436 -13.4829 -13.2054 -13.0343
  0.4643 -13.6516 -13.4907 -13.2131 -13.0419
  0.4664 -13.6596 -13.4985 -13.2208 -13.0497
  0.4685 -13.6676 -13.5064 -13.2285 -13.0574
  0.4706 -13.6755 -13.5141 -13.2362 -13.0652
  0.4728 -13.6835 -13.5219 -13.2439 -13.0729
  0.4749 -13.6915 -13.5298 -13.2517 -13.0807
  0.4771 -13.6995 -13.5377 -13.2594 -13.0884
  0.4792 -13.7082 -13.5462 -13.2677 -13.0966
  0.4814 -13.7162 -13.5540 -13.2754 -13.1042
  0.4836 -13.7242 -13.5618 -13.2830 -13.1117
  0.4858 -13.7322 -13.5696 -13.2907 -13.1194
  0.4880 -13.7403 -13.5775 -13.2985 -13.1272
  0.4902 -13.7535 -13.5909 -13.3118 -13.1412
  0.4924 -13.7580 -13.5949 -13.3153 -13.1438
  0.4946 -13.7653 -13.6017 -13.3218 -13.1501
  0.4968 -13.7730 -13.6092 -13.3290 -13.1572
  0.4991 -13.7807 -13.6166 -13.3362 -13.1644
  0.5014 -13.7885 -13.6242 -13.3437 -13.1719
  0.5036 -13.7963 -13.6318 -13.3512 -13.1795
  0.5059 -13.8042 -13.6396 -13.3588 -13.1872
  0.5082 -13.8123 -13.6475 -13.3666 -13.1949
  0.5105 -13.8201 -13.6552 -13.3741 -13.2024
  0.5128 -13.8281 -13.6629 -13.3817 -13.2100
  0.5151 -13.8361 -13.6707 -13.3893 -13.2176
  0.5174 -13.8440 -13.6785 -13.3970 -13.2252
  0.5198 -13.8520 -13.6862 -13.4046 -13.2328
  0.5221 -13.8600 -13.6940 -13.4122 -13.2405
  0.5245 -13.8680 -13.7019 -13.4199 -13.2481
  0.5269 -13.8762 -13.7100 -13.4279 -13.2560
  0.5293 -13.8842 -13.7178 -13.4355 -13.2636
  0.5317 -13.8921 -13.7255 -13.4430 -13.2711
  0.5341 -13.9001 -13.7333 -13.4507 -13.2787
  0.5365 -13.9080 -13.7410 -13.4583 -13.2862
  0.5389 -13.9161 -13.7488 -13.4659 -13.2938
  0.5413 -13.9242 -13.7566 -13.4736 -13.3014
  0.5438 -13.9323 -13.7645 -13.4812 -13.3090
  0.5463 -13.9403 -13.7723 -13.4889 -13.3166
  0.5487 -13.9483 -13.7800 -13.4964 -13.3241
  0.5512 -13.9562 -13.7877 -13.5040 -13.3317
  0.5537 -13.9702 -13.8020 -13.5181 -13.3464
  0.5562 -13.9750 -13.8063 -13.5220 -13.3495
  0.5587 -13.9821 -13.8129 -13.5282 -13.3553
  0.5613 -13.9895 -13.8199 -13.5349 -13.3619
  0.5638 -13.9971 -13.8273 -13.5421 -13.3690
  0.5663 -14.0051 -13.8350 -13.5496 -13.3766
  0.5689 -14.0127 -13.8425 -13.5569 -13.3838
  0.5715 -14.0205 -13.8500 -13.5643 -13.3911
  0.5741 -14.0285 -13.8577 -13.5718 -13.3985
  0.5767 -14.0364 -13.8655 -13.5793 -13.4060
  0.5793 -14.0444 -13.8732 -13.5869 -13.4135
  0.5819 -14.0524 -13.8809 -13.5944 -13.4210
  0.5845 -14.0605 -13.8889 -13.6021 -13.4287
  0.5872 -14.0688 -13.8969 -13.6099 -13.4364
  0.5898 -14.0767 -13.9046 -13.6173 -13.4438
  0.5925 -14.0846 -13.9123 -13.6248 -13.4513
  0.5952 -14.0926 -13.9200 -13.6324 -13.4588
  0.5979 -14.1004 -13.9276 -13.6398 -13.4662
  0.6006 -14.1082 -13.9352 -13.6472 -13.4737
  0.6033 -14.1160 -13.9428 -13.6547 -13.4811
  0.6060 -14.1244 -13.9511 -13.6626 -13.4890
  0.6088 -14.1324 -13.9588 -13.6701 -13.4963
  0.6115 -14.1403 -13.9664 -13.6774 -13.5036
  0.6143 -14.1482 -13.9741 -13.6848 -13.5109
  0.6171 -14.1562 -13.9818 -13.6923 -13.5183
  0.6199 -14.1641 -13.9895 -13.6998 -13.5258
  0.6227 -14.1720 -13.9971 -13.7073 -13.5332
  0.6255 -14.1841 -14.0098 -13.7201 -13.5470
  0.6283 -14.1899 -14.0146 -13.7241 -13.5497
  0.6311 -14.1974 -14.0215 -13.7306 -13.5560
  0.6340 -14.2048 -14.0286 -13.7374 -13.5627
  0.6369 -14.2125 -14.0359 -13.7445 -13.5698
  0.6398 -14.2202 -14.0435 -13.7518 -13.5771
  0.6427 -14.2284 -14.0514 -13.7594 -13.5847
  0.6456 -14.2362 -14.0589 -13.7667 -13.5919
  0.6485 -14.2441 -14.0665 -13.7741 -13.5992
  0.6514 -14.2520 -14.0741 -13.7814 -13.6065
  0.6544 -14.2598 -14.0818 -13.7888 -13.6139
  0.6573 -14.2677 -14.0894 -13.7962 -13.6212
  0.6603 -14.2759 -14.0973 -13.8038 -13.6288
  0.6633 -14.2840 -14.1052 -13.8115 -13.6363
  0.6663 -14.2919 -14.1128 -13.8187 -13.6435
  0.6693 -14.2998 -14.1204 -13.8261 -13.6508
  0.6723 -14.3078 -14.1280 -13.8335 -13.6581
  0.6754 -14.3158 -14.1357 -13.8409 -13.6654
  0.6784 -14.3237 -14.1434 -13.8482 -13.6728
  0.6815 -14.3317 -14.1510 -13.8556 -13.6801
  0.6846 -14.3402 -14.1593 -13.8636 -13.6879
  0.6877 -14.3481 -14.1669 -13.8708 -13.6951
  0.6908 -14.3561 -14.1744 -13.8781 -13.7022
  0.6939 -14.3640 -14.1820 -13.8854 -13.7094
  0.6971 -14.3719 -14.1896 -13.8927 -13.7167
  0.7002 -14.3842 -14.2014 -13.9044 -13.7282
  0.7034 -14.3903 -14.2080 -13.9109 -13.7353
  0.7066 -14.3974 -14.2143 -13.9166 -13.7403
  0.7098 -14.4046 -14.2212 -13.9230 -13.7466
  0.7130 -14.4125 -14.2286 -13.9302 -13.7536
  0.7162 -14.4202 -14.2360 -13.9371 -13.7605
  0.7194 -14.4279 -14.2433 -13.9442 -13.7674
  0.7227 -14.4358 -14.2508 -13.9513 -13.7745
  0.7260 -14.4436 -14.2584 -13.9586 -13.7817
  0.7292 -14.4515 -14.2659 -13.9659 -13.7889
  0.7325 -14.4598 -14.2740 -13.9736 -13.7966
  0.7359 -14.4677 -14.2815 -13.9808 -13.8038
  0.7392 -14.4755 -14.2890 -13.9880 -13.8109
  0.7425 -14.4834 -14.2966 -13.9953 -13.8181
  0.7459 -14.4913 -14.3041 -14.0026 -13.8253
  0.7493 -14.4992 -14.3117 -14.0099 -13.8325
  0.7527 -14.5074 -14.3197 -14.0175 -13.8400
  0.7561 -14.5154 -14.3274 -14.0249 -13.8473
  0.7595 -14.5232 -14.3348 -14.0320 -13.8543
  0.7629 -14.5309 -14.3423 -14.0391 -13.8614
  0.7664 -14.5388 -14.3498 -14.0462 -13.8685
  0.7698 -14.5466 -14.3573 -14.0535 -13.8756
  0.7733 -14.5545 -14.3649 -14.0607 -13.8828
  0.7768 -14.5625 -14.3725 -14.0680 -13.8900
  0.7803 -14.5705 -14.3801 -14.0753 -13.8972
  0.7839 -14.5785 -14.3877 -14.0826 -13.9043
  0.7874 -14.5871 -14.3961 -14.0905 -13.9121
  0.7910 -14.5999 -14.4088 -14.1031 -13.9253
  0.7946 -14.6046 -14.4133 -14.1073 -13.9289
  0.7981 -14.6119 -14.4199 -14.1132 -13.9343
  0.8018 -14.6194 -14.4269 -14.1197 -13.9406
  0.8054 -14.6273 -14.4344 -14.1268 -13.9475
  0.8090 -14.6349 -14.4416 -14.1336 -13.9542
  0.8127 -14.6427 -14.4490 -14.1406 -13.9611
  0.8164 -14.6509 -14.4568 -14.1480 -13.9684
  0.8201 -14.6587 -14.4643 -14.1551 -13.9754
  0.8238 -14.6665 -14.4718 -14.1622 -13.9824
  0.8275 -14.6744 -14.4793 -14.1694 -13.9895
  0.8312 -14.6824 -14.4869 -14.1767 -13.9966
  0.8350 -14.6903 -14.4945 -14.1840 -14.0038
  0.8388 -14.6983 -14.5022 -14.1913 -14.0109
  0.8426 -14.7068 -14.5104 -14.1990 -14.0185
  0.8464 -14.7147 -14.5179 -14.2061 -14.0255
  0.8502 -14.7227 -14.5255 -14.2132 -14.0324
  0.8541 -14.7306 -14.5331 -14.2204 -14.0395
  0.8579 -14.7386 -14.5406 -14.2276 -14.0466
  0.8618 -14.7470 -14.5488 -14.2353 -14.0542
  0.8657 -14.7547 -14.5561 -14.2423 -14.0610
  0.8696 -14.7624 -14.5635 -14.2492 -14.0679
  0.8736 -14.7703 -14.5710 -14.2563 -14.0749
  0.8775 -14.7782 -14.5786 -14.2635 -14.0819
  0.8815 -14.7862 -14.5862 -14.2707 -14.0889
  0.8855 -14.7942 -14.5938 -14.2779 -14.0960
  0.8895 -14.8021 -14.6015 -14.2852 -14.1031
  0.8935 -14.8101 -14.6091 -14.2924 -14.1101
  0.8975 -14.8189 -14.6176 -14.3004 -14.1181
