|            obsdate |    mag |                 e_mag | magsys | filter | depth_5sig |     zp |  observatory | detected | A_filter |
|  59670.40599999996 | 15.536 |  0.014480801082813063 |     AB |      g |     21.125 | 21.125 |         LSGT |     True |   -0.274 |
|  59693.36349999998 | 15.898 |  0.018297857798113965 |     AB |      g |     19.448 | 19.448 |         LSGT |     True |   -0.274 |
|  59544.22860000003 | 12.567 |  0.007715834368362245 |     AB |      i |     17.927 | 17.927 |          KCT |     True |   -0.123 |
|  59545.21920000017 | 12.572 |   0.00787949236943599 |     AB |      i |     18.125 | 18.125 |          KCT |     True |   -0.123 |
|  59546.21980000101 | 12.577 |  0.008144476655992085 |     AB |      i |     18.036 | 18.036 |          KCT |     True |   -0.123 |
|   59547.2202000008 | 12.595 |  0.007745166234497489 |     AB |      i |      17.99 |  17.99 |          KCT |     True |   -0.123 |
| 59548.221400000155 | 12.645 |  0.007743545699484184 |     AB |      i |     17.914 | 17.914 |          KCT |     True |   -0.123 |
|  59549.20479999995 |  12.65 |  0.007923515633858496 |     AB |      i |     18.081 | 18.081 |          KCT |     True |   -0.123 |
|  59551.18940000003 | 12.725 |  0.008421644732473579 |     AB |      i |      17.81 |  17.81 |          KCT |     True |   -0.123 |
|  59552.20750000002 | 12.764 |  0.008082258347763946 |     AB |      i |     17.935 | 17.935 |          KCT |     True |   -0.123 |
|  59553.20559999999 | 12.804 |   0.00808935102464963 |     AB |      i |     18.197 | 18.197 |          KCT |     True |   -0.123 |
|  59554.18940000003 | 12.873 |   0.00819671275573324 |     AB |      i |     17.918 | 17.918 |          KCT |     True |   -0.123 |
|  59555.19079999998 | 12.947 |  0.008469527731815984 |     AB |      i |     18.041 | 18.041 |          KCT |     True |   -0.123 |
|  59556.19119999977 | 13.032 |  0.008586157464197823 |     AB |      i |     17.873 | 17.873 |          KCT |     True |   -0.123 |
|  59557.19219999993 | 13.119 |  0.008927485648266259 |     AB |      i |     18.186 | 18.186 |          KCT |     True |   -0.123 |
| 59558.191999999806 | 13.214 |  0.009372299611087985 |     AB |      i |      17.97 |  17.97 |          KCT |     True |   -0.123 |
|  59502.25601010118 |        |                       |     AB |      r |     19.453 | 19.453 |       RASA36 |    False |   -0.172 |
|  59505.22958333418 |        |                       |     AB |      r |     19.017 | 19.017 |       RASA36 |    False |   -0.172 |
|  59507.22074999986 |        |                       |     AB |      r |     18.442 | 18.442 |       RASA36 |    False |   -0.172 |
|  59508.22450000001 |        |                       |     AB |      r |     18.755 | 18.755 |       RASA36 |    False |   -0.172 |
|  59509.23400000017 |        |                       |     AB |      r |     19.185 | 19.185 |       RASA36 |    False |   -0.172 |
|  59511.27583333291 |        |                       |     AB |      r |     19.337 | 19.337 |       RASA36 |    False |   -0.172 |
|  59513.20033333311 |        |                       |     AB |      r |     19.189 | 19.189 |       RASA36 |    False |   -0.172 |
|  59514.26049999986 |        |                       |     AB |      r |      19.57 |  19.57 |       RASA36 |    False |   -0.172 |
|  59532.20241666678 | 14.668 |   0.02685577963865507 |     AB |      r |     19.313 | 19.313 |       RASA36 |     True |   -0.172 |
|  59533.15154545382 | 14.245 |  0.022292619855010312 |     AB |      r |     18.831 | 18.831 |       RASA36 |     True |   -0.172 |
| 59535.142500000075 | 13.374 |   0.01500953363699219 |     AB |      r |     18.916 | 18.916 |       RASA36 |     True |   -0.172 |
| 59536.157500000205 | 13.034 |  0.013016819888129359 |     AB |      r |     18.836 | 18.836 |       RASA36 |     True |   -0.172 |
|  59539.27408333309 | 12.432 |  0.009847842403288143 |     AB |      r |     19.108 | 19.108 |       RASA36 |     True |   -0.172 |
|  59540.25691666687 | 12.338 |   0.00936683511117816 |     AB |      r |     19.257 | 19.257 |       RASA36 |     True |   -0.172 |
|  59544.22649999987 | 12.084 |  0.008386751456911073 |     AB |      r |     19.554 | 19.554 |       RASA36 |     True |   -0.172 |
| 59576.199583332986 |  12.87 |  0.009861967349367975 |     AB |      r |     19.986 | 19.986 |       RASA36 |     True |   -0.172 |
| 59577.254166666884 | 12.871 |  0.009652673204869209 |     AB |      r |     19.833 | 19.833 |       RASA36 |     True |   -0.172 |
|   59584.3027499998 | 13.298 |   0.01198801484817232 |     AB |      r |     19.202 | 19.202 |       RASA36 |     True |   -0.172 |
| 59585.256750000175 | 13.356 |   0.01218538468822384 |     AB |      r |     19.425 | 19.425 |       RASA36 |     True |   -0.172 |
|  59586.23455555597 | 13.401 |  0.012520099839857508 |     AB |      r |      20.19 |  20.19 |       RASA36 |     True |   -0.172 |
|  59587.21950000012 |  13.43 |  0.012805451963909746 |     AB |      r |     20.156 | 20.156 |       RASA36 |     True |   -0.172 |
|  59588.15705555491 | 13.467 |   0.01499218463066674 |     AB |      r |     19.602 | 19.602 |       RASA36 |     True |   -0.172 |
|  59589.15706666699 | 13.532 |    0.0136194713553794 |     AB |      r |      19.85 |  19.85 |       RASA36 |     True |   -0.172 |
| 59592.187533332966 | 13.675 |   0.01471800258187231 |     AB |      r |     19.525 | 19.525 |       RASA36 |     True |   -0.172 |
|  59593.20599999977 | 13.721 |   0.02238250209426998 |     AB |      r |     17.884 | 17.884 |       RASA36 |     True |   -0.172 |
| 59594.227455554996 |  13.75 |  0.024091699815496623 |     AB |      r |     17.328 | 17.328 |       RASA36 |     True |   -0.172 |
|  59596.20599999977 |  13.91 |  0.027381418882154375 |     AB |      r |      17.83 |  17.83 |       RASA36 |     True |   -0.172 |
|  59597.20633333316 | 13.856 |  0.016100931650062985 |     AB |      r |     18.987 | 18.987 |       RASA36 |     True |   -0.172 |
|  59599.19466666598 | 13.914 |   0.01650178475195941 |     AB |      r |     19.281 | 19.281 |       RASA36 |     True |   -0.172 |
|  59601.17091666721 | 13.993 |   0.01660903368652132 |     AB |      r |     19.635 | 19.635 |       RASA36 |     True |   -0.172 |
|  59602.19249999989 | 13.928 |  0.027303926457562838 |     AB |      r |     16.795 | 16.795 |       RASA36 |     True |   -0.172 |
| 59603.160916666966 | 14.035 |   0.01719658105554706 |     AB |      r |     19.921 | 19.921 |       RASA36 |     True |   -0.172 |
| 59605.144916666206 | 14.128 |  0.017712145550440806 |     AB |      r |     19.831 | 19.831 |       RASA36 |     True |   -0.172 |
|  59606.13441666681 | 14.192 |  0.018319609711999873 |     AB |      r |      19.77 |  19.77 |       RASA36 |     True |   -0.172 |
|  59607.12974999985 | 14.178 |  0.018291771374035922 |     AB |      r |     19.814 | 19.814 |       RASA36 |     True |   -0.172 |
| 59610.164701967966 | 14.261 |  0.019474342094150447 |     AB |      r |     19.776 | 19.776 |       RASA36 |     True |   -0.172 |
|  59611.17533333413 | 14.273 |  0.020168430776835364 |     AB |      r |     19.789 | 19.789 |       RASA36 |     True |   -0.172 |
|   59613.1183333341 | 14.346 |  0.020184043202490426 |     AB |      r |     19.858 | 19.858 |       RASA36 |     True |   -0.172 |
|  59614.13016666705 | 14.381 |  0.020682903567922954 |     AB |      r |     19.818 | 19.818 |       RASA36 |     True |   -0.172 |
| 59616.131454546005 | 14.438 |  0.020969837862987877 |     AB |      r |     19.823 | 19.823 |       RASA36 |     True |   -0.172 |
|  59617.08900000015 | 14.449 |  0.022325601895581672 |     AB |      r |     19.819 | 19.819 |       RASA36 |     True |   -0.172 |
| 59619.106000000145 |  14.54 |   0.02198010236554871 |     AB |      r |     19.771 | 19.771 |       RASA36 |     True |   -0.172 |
|   59620.1235833331 | 14.567 |  0.022466706478698653 |     AB |      r |     19.672 | 19.672 |       RASA36 |     True |   -0.172 |
|  59621.11005922081 |  14.64 |   0.03346848667029927 |     AB |      r |     18.514 | 18.514 |       RASA36 |     True |   -0.172 |
|  59624.10141666699 | 14.703 |  0.025172566416636982 |     AB |      r |     19.234 | 19.234 |       RASA36 |     True |   -0.172 |
|  59625.13775000023 | 14.724 |  0.026764829534297433 |     AB |      r |     19.031 | 19.031 |       RASA36 |     True |   -0.172 |
|  59627.10466666706 | 14.783 |    0.0250668885185218 |     AB |      r |     19.102 | 19.102 |       RASA36 |     True |   -0.172 |
|  59631.09316666704 | 14.923 |  0.027553114161560758 |     AB |      r |     19.637 | 19.637 |       RASA36 |     True |   -0.172 |
|    59634.081166666 | 15.042 |  0.032301263133196506 |     AB |      r |     19.511 | 19.511 |       RASA36 |     True |   -0.172 |
|  59636.12666666601 | 15.075 |  0.029447392074681247 |     AB |      r |     19.748 | 19.748 |       RASA36 |     True |   -0.172 |
| 59638.074333333876 |  15.13 |   0.03131293662370235 |     AB |      r |     19.717 | 19.717 |       RASA36 |     True |   -0.172 |
|  59639.07175000012 | 15.202 |   0.03157009502678128 |     AB |      r |      19.77 |  19.77 |       RASA36 |     True |   -0.172 |
|  59640.06858333293 | 15.218 |  0.031550251979976324 |     AB |      r |     19.675 | 19.675 |       RASA36 |     True |   -0.172 |
|  59642.06325000012 | 15.281 |  0.033203764846776035 |     AB |      r |     19.694 | 19.694 |       RASA36 |     True |   -0.172 |
|   59645.0517500001 |  15.34 |   0.03460915485821634 |     AB |      r |      19.67 |  19.67 |       RASA36 |     True |   -0.172 |
|  59646.05008333409 | 15.372 |   0.03404552246625098 |     AB |      r |     19.608 | 19.608 |       RASA36 |     True |   -0.172 |
| 59648.113416667096 | 15.492 |   0.03673486082728503 |     AB |      r |     19.599 | 19.599 |       RASA36 |     True |   -0.172 |
|  59649.05649999995 | 15.485 |   0.03584623271698157 |     AB |      r |     19.517 | 19.517 |       RASA36 |     True |   -0.172 |
|  59650.08199999994 | 15.462 |   0.03964272442706228 |     AB |      r |     18.381 | 18.381 |       RASA36 |     True |   -0.172 |
|  59654.04774999991 | 15.613 |   0.03844502048380258 |     AB |      r |      19.21 |  19.21 |       RASA36 |     True |   -0.172 |
|  59656.05583333317 | 15.671 |   0.04073949066937386 |     AB |      r |      18.97 |  18.97 |       RASA36 |     True |   -0.172 |
|  59659.04366666684 | 15.782 |   0.04248350385737975 |     AB |      r |      19.46 |  19.46 |       RASA36 |     True |   -0.172 |
| 59660.038000000175 | 15.856 |  0.046535995745229305 |     AB |      r |     18.576 | 18.576 |       RASA36 |     True |   -0.172 |
|  59664.05099999998 | 15.939 |   0.04913298281195636 |     AB |      r |     18.581 | 18.581 |       RASA36 |     True |   -0.172 |
|  59673.02350000013 | 16.218 |   0.05263044841154216 |     AB |      r |     19.599 | 19.599 |       RASA36 |     True |   -0.172 |
|  59676.06675000023 | 16.332 |   0.05703721241435279 |     AB |      r |     19.516 | 19.516 |       RASA36 |     True |   -0.172 |
