recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
7277175,119.173402,59.330096,0.805,1.068,20152436,4,17,0.443,0.090,16.134,0.090,16.578,0.000,16.326,0.065,16.019,0.026,15.844,0.282
7277176,119.098804,59.293614,0.256,0.304,20152436,6,40,0.560,0.142,14.363,0.065,14.923,0.127,14.513,0.124,14.152,0.056,13.968,0.055
7277177,119.154964,59.340722,0.106,0.131,20152436,8,50,0.389,0.139,12.457,0.059,12.846,0.126,12.552,0.134,12.338,0.071,12.230,0.075
7277178,119.086906,59.374621,0.759,0.527,20152436,4,24,0.250,0.146,15.934,0.146,16.185,0.000,16.110,0.134,15.691,0.075,15.520,0.148
7277180,118.914712,59.209147,0.625,0.340,20152436,6,35,0.760,0.145,14.480,0.100,15.240,0.105,14.744,0.123,14.169,0.061,13.954,0.100
7277181,118.840587,59.263673,0.136,0.172,20152436,7,30,0.635,0.169,12.836,0.071,13.471,0.154,13.030,0.185,12.603,0.050,12.405,0.063
7277185,118.787215,59.279219,0.171,0.194,20152436,7,30,1.025,0.171,12.747,0.071,13.772,0.155,13.149,0.190,12.343,0.060,12.000,0.067
7277186,118.806359,59.283536,0.157,0.169,20152436,7,30,0.481,0.166,12.227,0.069,12.708,0.151,12.340,0.182,12.061,0.055,11.906,0.060
7277187,118.823147,59.262112,0.459,0.436,20152436,7,30,0.633,0.154,14.674,0.098,15.307,0.119,14.844,0.185,14.423,0.056,14.238,0.089
7277190,118.868500,59.300712,0.375,0.676,20152436,6,25,0.862,0.188,15.062,0.092,15.924,0.164,15.387,0.209,14.662,0.055,14.355,0.087
7277192,118.869016,59.343887,0.201,0.203,20152436,7,30,0.681,0.190,13.714,0.076,14.395,0.174,13.933,0.207,13.456,0.062,13.242,0.059
7277194,118.825254,59.389100,1.493,0.352,20152436,6,20,0.768,0.185,12.659,0.167,13.427,0.078,12.836,0.182,12.350,0.100,12.057,0.060
7277195,118.836820,59.374903,0.282,0.257,20152436,7,30,0.490,0.152,13.859,0.072,14.349,0.134,13.959,0.203,13.682,0.048,13.536,0.063
7277196,118.842433,59.382514,0.524,0.546,20152436,7,27,0.704,0.155,15.109,0.046,15.814,0.148,15.310,0.175,14.874,0.067,14.654,0.095
7277198,118.963869,59.379004,0.460,0.560,20152436,8,42,0.467,0.235,15.268,0.085,15.735,0.219,15.383,0.174,15.063,0.072,14.864,0.158
