recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
37614352,41.359059,-31.241056,0.800,0.781,20161553,4,51,0.733,0.125,15.094,0.069,15.826,0.105,15.408,0.106,14.887,0.021,14.627,0.000
37614353,41.418934,-31.148783,0.783,1.373,20161553,2,11,0.654,0.000,15.972,0.000,16.626,0.000,16.286,0.000,15.920,0.000,15.630,0.000
37614356,41.464266,-31.066687,0.542,0.383,20131438,7,74,0.482,0.086,13.361,0.032,13.844,0.080,13.573,0.075,13.279,0.048,13.140,0.033
37614357,41.483714,-31.061562,0.549,0.471,20180050,6,68,0.555,0.101,14.366,0.053,14.921,0.086,14.586,0.077,14.209,0.039,14.046,0.047
37614358,41.685282,-31.179398,0.556,0.267,20131438,9,80,0.828,0.044,11.464,0.038,12.292,0.022,11.871,0.016,11.211,0.010,10.951,0.074
37614360,41.768482,-31.092458,0.706,0.680,20161554,7,49,0.712,0.083,15.362,0.063,16.073,0.054,15.747,0.066,15.190,0.034,15.013,0.111
37614361,41.747382,-31.058684,0.965,0.755,20161554,5,45,0.983,0.029,15.251,0.008,16.235,0.028,15.774,0.047,14.941,0.054,14.720,0.036
37614363,41.766382,-30.971083,0.483,0.285,20131438,10,91,0.883,0.036,13.088,0.032,13.971,0.017,13.486,0.021,12.864,0.030,12.575,0.073
37614364,41.547709,-31.091686,0.760,0.758,20161554,5,52,0.989,0.232,15.436,0.069,16.425,0.221,15.879,0.070,15.081,0.027,14.770,0.065
37614365,41.578598,-31.049208,0.427,0.507,20161554,8,73,1.444,0.085,14.415,0.034,15.859,0.078,15.184,0.065,13.838,0.038,12.987,0.052
37614367,41.597292,-31.056708,0.976,0.972,20161553,4,24,0.533,0.228,16.067,0.124,16.600,0.192,16.294,0.045,15.823,0.125,15.597,0.000
37614369,41.528828,-31.008153,0.549,0.694,20161554,3,12,0.994,0.000,15.965,0.000,16.958,0.000,16.658,0.000,15.541,0.000,15.068,0.015
37614370,41.567709,-30.981490,0.348,0.380,20131438,8,76,0.248,0.100,13.625,0.065,13.873,0.076,13.696,0.057,13.639,0.056,13.648,0.075
37614372,41.660536,-31.033881,0.731,1.061,20161553,3,8,0.800,0.000,16.287,0.000,17.087,0.000,16.753,0.044,15.971,0.076,15.507,0.000
37614373,41.621001,-30.943847,0.498,0.585,20131438,7,91,0.844,0.173,14.546,0.089,15.390,0.148,14.970,0.096,14.313,0.076,14.090,0.058
37614375,41.663609,-30.877684,0.471,0.261,20161554,8,84,0.689,0.094,13.272,0.044,13.961,0.083,13.583,0.054,13.122,0.053,12.947,0.050
37614376,41.672173,-30.885090,1.086,0.494,20161554,2,10,0.632,0.000,13.662,0.000,14.294,0.000,13.965,0.000,13.567,0.000,13.460,0.000
37614377,41.672325,-30.885072,0.392,0.343,20180050,7,76,0.567,0.110,13.751,0.049,14.319,0.098,14.013,0.052,13.600,0.049,13.398,0.046
37614378,41.304447,-31.196035,0.390,0.433,20161553,5,63,0.834,0.099,14.209,0.034,15.044,0.093,14.577,0.078,13.967,0.055,13.641,0.054
37614380,41.326465,-31.122719,0.721,0.742,20161553,4,47,1.237,0.155,15.072,0.046,16.309,0.148,15.655,0.142,14.595,0.051,14.190,0.006
37614382,41.331800,-31.112065,0.398,0.408,20131438,7,72,0.539,0.109,14.049,0.047,14.588,0.099,14.290,0.094,13.885,0.043,13.699,0.028
37614383,41.287687,-31.130975,0.504,0.337,20180050,6,71,0.613,0.126,13.866,0.062,14.478,0.110,14.153,0.079,13.754,0.062,13.556,0.020
37614385,41.378740,-31.107918,0.518,0.311,20131438,7,70,0.774,0.110,13.943,0.039,14.717,0.103,14.314,0.078,13.713,0.025,13.455,0.037
37614386,41.399808,-31.082928,0.307,0.150,20131438,7,76,0.640,0.082,10.672,0.031,11.312,0.076,10.932,0.051,10.516,0.027,10.350,0.044
37614387,41.406653,-31.091927,0.251,0.804,20161553,5,59,0.639,0.134,13.676,0.034,14.316,0.129,13.987,0.098,13.531,0.045,13.331,0.000
37614388,41.408775,-31.087101,0.340,0.257,20131438,7,79,0.573,0.098,12.060,0.049,12.634,0.085,12.323,0.077,11.954,0.038,11.782,0.039
37614389,41.428402,-31.090971,0.352,0.301,20131438,7,74,0.588,0.095,13.433,0.042,14.021,0.085,13.706,0.073,13.310,0.041,13.112,0.039
37614390,41.406932,-31.011825,0.234,0.118,20131438,7,76,0.990,0.090,12.020,0.050,13.010,0.075,12.486,0.085,11.741,0.036,11.395,0.067
37614392,41.426136,-31.000467,0.507,0.319,20131438,7,78,0.898,0.109,13.440,0.052,14.338,0.095,13.883,0.084,13.176,0.040,12.909,0.032
37614394,41.222810,-31.093533,0.857,0.724,20161553,4,35,1.028,0.000,15.602,0.000,16.630,0.000,16.091,0.156,15.107,0.043,14.789,0.028
37614395,41.249606,-31.093129,1.105,0.888,20161553,2,18,0.872,0.000,15.987,0.000,16.859,0.000,16.404,0.000,15.716,0.000,15.350,0.000
37614397,41.200016,-31.027254,0.349,0.258,20180050,6,67,0.592,0.113,13.563,0.048,14.155,0.102,13.818,0.082,13.433,0.040,13.293,0.023
37614398,41.220114,-31.037208,0.853,0.782,20161553,4,29,0.754,0.281,15.712,0.095,16.466,0.265,16.046,0.142,15.433,0.017,15.139,0.000
37614399,41.250509,-30.987936,0.328,0.133,20131438,7,78,0.811,0.109,12.424,0.054,13.235,0.095,12.813,0.081,12.188,0.035,11.927,0.025
37614400,41.305038,-30.963016,1.164,0.763,20161553,2,8,0.815,0.000,15.954,0.000,16.769,0.000,16.334,0.000,16.021,0.000,15.738,0.000
37614402,41.309216,-30.903303,0.630,0.571,20161553,5,61,-0.063,0.118,14.556,0.044,14.493,0.110,14.437,0.074,14.726,0.037,14.882,0.000
37614403,41.511675,-30.963940,0.466,0.345,20180050,6,65,0.938,0.119,14.022,0.045,14.960,0.110,14.461,0.078,13.705,0.056,13.398,0.064
37614404,41.451971,-30.956438,0.425,0.373,20180050,6,66,0.531,0.137,14.264,0.075,14.795,0.115,14.495,0.077,14.158,0.073,13.923,0.026
37614405,41.460505,-30.952050,0.334,0.268,20180050,6,73,0.831,0.102,13.473,0.042,14.303,0.093,13.875,0.082,13.242,0.043,12.998,0.049
37614408,41.438172,-30.929706,1.136,0.363,20161553,4,28,0.570,0.089,13.606,0.063,14.176,0.064,13.895,0.064,13.425,0.041,13.148,0.000
37614410,41.543532,-30.908330,0.746,0.718,20161553,3,34,0.750,0.278,15.456,0.043,16.206,0.274,15.866,0.049,15.305,0.086,15.176,0.037
37614411,41.547356,-30.924543,0.888,0.565,20131438,3,12,0.551,0.000,12.454,0.000,13.005,0.000,12.721,0.000,12.405,0.000,12.353,0.000
37614412,41.547477,-30.924536,0.334,0.174,20131438,7,78,0.502,0.103,12.540,0.049,13.041,0.091,12.747,0.082,12.459,0.030,12.296,0.063
37614413,41.604389,-30.880622,0.811,0.841,20161554,6,49,0.922,0.000,15.433,0.000,16.355,0.000,15.793,0.059,15.234,0.061,14.902,0.088
37614414,41.642452,-30.880493,0.917,0.364,20161554,8,76,0.970,0.109,14.233,0.053,15.202,0.096,14.727,0.078,13.886,0.079,13.488,0.060
37614415,41.530603,-30.825893,0.516,0.430,20161554,7,72,0.661,0.110,14.236,0.072,14.897,0.083,14.541,0.073,14.087,0.043,13.896,0.099
37614416,41.573128,-30.831330,0.506,0.640,20161554,6,72,0.704,0.103,14.704,0.066,15.407,0.079,15.002,0.079,14.479,0.041,14.354,0.064
37614419,41.432480,-30.835972,0.444,0.383,20180050,6,71,0.550,0.120,13.962,0.065,14.512,0.100,14.225,0.077,13.849,0.046,13.666,0.032
37614420,41.421008,-30.806835,0.313,0.421,20161553,5,61,0.946,0.151,14.368,0.057,15.314,0.140,14.864,0.074,14.050,0.037,13.720,0.016
37614421,41.567963,-30.778597,0.552,0.603,20131438,6,51,0.589,0.116,12.791,0.083,13.380,0.080,13.078,0.063,12.687,0.042,12.483,0.087
37614422,41.568002,-30.778626,0.290,0.209,20131438,5,71,0.487,0.025,12.779,0.014,13.267,0.021,12.981,0.029,12.661,0.010,12.536,0.016
37614423,41.536018,-30.747700,0.299,0.237,20131438,8,80,0.619,0.100,12.906,0.063,13.525,0.078,13.179,0.072,12.778,0.037,12.614,0.065
37614424,41.464536,-30.786624,0.831,0.845,20161553,3,41,0.661,0.152,15.499,0.011,16.160,0.152,15.809,0.098,15.451,0.038,15.255,0.000
37614425,41.425527,-30.765352,0.247,0.167,20131438,7,80,1.041,0.090,12.113,0.052,13.155,0.073,12.605,0.076,11.795,0.049,11.425,0.055
37614436,42.242147,-31.259207,0.833,1.029,20161554,4,34,1.209,0.326,15.876,0.026,17.085,0.324,16.469,0.121,15.357,0.088,14.898,0.066
37614437,42.316261,-31.246423,0.311,0.245,20131439,7,67,0.538,0.051,12.974,0.038,13.512,0.034,13.201,0.023,12.878,0.022,12.740,0.038
37614438,42.241671,-31.168955,0.306,0.201,20131439,7,70,0.492,0.057,12.879,0.045,13.371,0.036,13.085,0.022,12.770,0.026,12.659,0.022
37614439,42.258999,-31.179380,0.891,0.621,20161554,5,50,0.746,0.131,15.216,0.102,15.961,0.082,15.558,0.080,14.935,0.075,14.765,0.038
37614440,42.266514,-31.172648,0.506,0.586,20161554,4,43,0.957,0.048,14.914,0.041,15.871,0.024,15.394,0.020,14.505,0.040,14.054,0.045
37614441,42.100081,-31.262377,0.369,0.305,20131439,7,73,0.574,0.045,12.905,0.033,13.479,0.030,13.155,0.022,12.800,0.038,12.682,0.039
37614442,42.063642,-31.260154,0.371,0.322,20161554,6,64,0.821,0.050,13.716,0.044,14.536,0.024,14.088,0.033,13.470,0.042,13.275,0.031
37614443,42.162132,-31.215464,0.974,0.736,20161554,4,21,1.033,0.062,15.721,0.032,16.755,0.053,16.266,0.107,15.362,0.080,15.032,0.022
37614444,42.070115,-31.233716,0.868,0.433,20131439,3,14,0.969,0.000,12.205,0.000,13.174,0.000,12.652,0.000,11.969,0.000,11.745,0.000
37614445,42.070207,-31.233646,0.258,0.274,20131439,6,69,0.894,0.036,12.250,0.032,13.145,0.017,12.664,0.035,11.980,0.033,11.759,0.021
37614446,42.031048,-31.228828,0.409,0.279,20161554,8,70,0.505,0.059,13.336,0.039,13.841,0.044,13.543,0.023,13.225,0.033,13.097,0.034
37614447,42.095549,-31.164634,0.683,0.904,20161554,5,30,1.006,0.101,15.641,0.066,16.647,0.076,16.157,0.028,15.238,0.055,14.861,0.083
37614449,42.188285,-31.156807,0.430,0.394,20161554,6,60,0.578,0.056,14.319,0.040,14.897,0.040,14.572,0.031,14.210,0.036,14.075,0.028
37614452,42.365384,-31.173148,0.197,0.152,20131439,7,70,0.543,0.042,12.398,0.034,12.942,0.024,12.620,0.016,12.297,0.019,12.183,0.030
37614453,42.383600,-31.173414,0.839,1.173,20161554,4,18,1.134,0.000,15.929,0.000,17.063,0.000,16.560,0.188,15.712,0.054,15.347,0.063
37614454,42.343224,-31.181485,1.191,1.012,20180096,2,11,0.956,0.144,16.544,0.000,17.500,0.144,16.948,0.000,16.184,0.000,15.721,0.000
37614456,42.374455,-31.156889,0.949,0.632,20161554,4,12,1.069,0.000,16.520,0.000,17.589,0.000,17.051,0.087,16.318,0.095,15.930,0.016
37614459,42.389594,-31.121145,0.789,0.833,20161554,5,31,1.021,0.046,15.649,0.043,16.670,0.016,16.074,0.063,15.273,0.087,14.982,0.185
37614460,42.328106,-31.098948,0.463,0.749,20161554,4,12,0.650,0.068,16.379,0.000,17.030,0.068,16.702,0.009,16.251,0.127,16.135,0.000
37614461,42.365895,-31.088827,0.640,0.473,20161554,6,49,0.788,0.045,14.443,0.039,15.231,0.022,14.797,0.012,14.293,0.040,14.081,0.044
37614462,42.397754,-31.091526,0.934,0.774,20161554,4,20,1.025,0.089,15.978,0.000,17.003,0.089,16.461,0.039,15.696,0.067,15.261,0.055
37614463,42.472044,-31.075897,0.718,0.664,20161554,5,53,0.756,0.035,15.009,0.009,15.765,0.034,15.347,0.027,14.748,0.043,14.524,0.053
37614466,42.479997,-31.060825,0.949,0.761,20161554,4,10,1.119,0.000,16.226,0.000,17.345,0.000,16.876,0.019,15.732,0.068,15.350,0.046
37614469,42.502439,-31.019021,0.831,0.847,20161554,3,18,0.957,0.000,15.095,0.000,16.053,0.000,15.567,0.019,14.767,0.000,14.496,0.000
37614470,42.502540,-31.018952,0.787,0.609,20180090,3,40,0.932,0.068,15.073,0.038,16.005,0.056,15.534,0.000,14.816,0.021,14.519,0.016
37614471,42.404141,-31.077684,0.611,0.518,20161554,5,42,0.531,0.038,15.023,0.009,15.553,0.037,15.287,0.031,14.917,0.039,14.784,0.030
37614474,42.273502,-31.090245,0.439,0.485,20161554,6,60,0.671,0.035,14.075,0.033,14.746,0.013,14.371,0.028,13.901,0.024,13.719,0.014
37614475,42.287815,-31.106074,0.833,0.895,20161554,5,30,0.502,0.089,15.869,0.021,16.371,0.087,16.079,0.078,15.671,0.041,15.474,0.055
37614476,42.312462,-31.051532,0.857,0.731,20161554,5,49,1.014,0.203,15.464,0.140,16.478,0.147,15.991,0.130,15.152,0.097,14.768,0.130
37614477,42.245658,-30.996947,0.324,0.286,20131439,7,68,1.096,0.031,12.863,0.024,13.959,0.019,13.388,0.025,12.543,0.021,12.227,0.018
37614479,42.345808,-30.979218,0.792,0.625,20161554,3,34,1.231,0.062,14.919,0.062,16.151,0.000,15.534,0.067,14.427,0.050,14.019,0.029
37614480,42.345832,-30.979200,0.643,0.504,20180090,3,38,1.180,0.023,14.902,0.006,16.082,0.022,15.551,0.036,14.442,0.006,14.041,0.033
37614481,42.364240,-30.920420,0.299,0.151,20131439,7,70,0.648,0.026,12.619,0.017,13.267,0.020,12.897,0.023,12.455,0.023,12.306,0.025
37614482,42.043817,-31.174029,0.803,0.953,20161554,5,33,0.567,0.148,15.956,0.133,16.523,0.066,16.212,0.046,15.875,0.031,15.774,0.049
37614483,42.122431,-31.092215,0.450,0.388,20131439,7,74,0.784,0.052,13.463,0.043,14.247,0.029,13.832,0.020,13.240,0.022,13.057,0.023
37614484,42.146546,-31.066731,0.362,0.297,20161554,6,69,0.608,0.030,13.711,0.025,14.319,0.017,13.991,0.026,13.560,0.030,13.405,0.029
37614485,42.160599,-31.059398,0.578,0.737,20161554,6,59,0.436,0.051,15.025,0.044,15.461,0.026,15.188,0.019,14.951,0.059,14.870,0.067
37614486,42.063846,-31.050442,0.546,0.762,20161554,5,49,0.800,0.100,15.152,0.045,15.951,0.090,15.518,0.016,14.974,0.036,14.749,0.059
37614487,42.101445,-30.996779,0.496,0.471,20131439,7,68,0.878,0.028,14.431,0.011,15.309,0.026,14.846,0.021,14.160,0.026,13.922,0.020
37614488,41.909598,-31.072633,0.661,0.634,20161554,8,75,0.650,0.039,14.509,0.033,15.160,0.021,14.778,0.042,14.381,0.046,14.179,0.028
37614489,41.916584,-31.079603,0.706,0.612,20161554,7,66,0.591,0.087,14.806,0.037,15.397,0.079,15.037,0.029,14.702,0.042,14.514,0.103
37614491,41.869110,-31.070835,0.403,0.205,20131438,9,83,1.030,0.039,11.992,0.030,13.023,0.026,12.472,0.032,11.684,0.030,11.412,0.019
37614494,42.058045,-30.956996,0.640,0.983,20161554,3,23,1.389,0.017,15.397,0.015,16.786,0.008,16.101,0.022,15.011,0.027,14.607,0.024
37614495,42.058040,-30.956887,0.776,0.913,20180090,3,31,1.147,0.000,15.483,0.000,16.630,0.000,16.086,0.019,15.024,0.025,14.665,0.033
