|                               id |     ra |     dec |    ra1 |    dec1 |    ra2 |    dec2 |    ra3 |    dec3 |    ra4 |    dec4 |                  l |                   b | n_hostgalaxy |   prob_vol_x_stmass | rank | confidence |      obj |  note |              weight | filter | count | exptime | binning |   ra_hms |   dec_dms |            maxalt |                 transit | moonsep | scheduled |       fraction_obs |
| 3b49fd48231a49d3930ef7bd03ad94ec | 46.997 | -32.907 | 47.486 | -32.495 |  47.49 | -33.319 | 46.504 | -33.319 | 46.509 | -32.495 | 232.41238103517466 | -60.016415137991245 |           38 |  1.2391515910631359 |   20 |        0.5 | S230830b | 15049 |  1.2391515910631359 |    g,r |   6,6 | 300,300 |     1,1 | 03:07:59 | -32:54:25 |             87.71 | 2023-08-30T09:18:54.053 |    71.5 |     False |                0.5 |
| 2509df3361094dffa6d9851c7fcdd810 | 40.588 | -26.564 | 41.047 | -26.151 | 41.051 | -26.975 | 40.126 | -26.975 | 40.129 | -26.151 |  218.0107651527891 |  -65.30363441721855 |           21 |  1.2170995810665899 |   21 |        0.5 | S230830b | 18199 |  1.2170995810665899 |    g,r |   6,6 | 300,300 |     1,1 | 02:42:21 | -26:33:50 |             85.93 | 2023-08-30T08:53:15.893 |   67.03 |     False | 0.5333333333333333 |
| 1ec953bd0a8441628178dbc0e69c4a10 |  41.84 | -24.978 | 42.293 | -24.565 | 42.296 | -25.389 | 41.384 | -25.389 | 41.387 | -24.565 | 214.78844893978706 |  -63.93252832380126 |           20 |  1.2043662980574565 |   22 |        0.5 | S230830b | 19019 |  1.2043662980574565 |    g,r |   6,6 | 300,300 |     1,1 | 02:47:21 | -24:58:40 |             84.35 | 2023-08-30T08:58:16.373 |    68.4 |     False | 0.5333333333333333 |
| 24acf9e6914c4a6fb36be36e23917227 | 48.722 | -28.943 | 49.191 |  -28.53 | 49.194 | -29.354 | 48.249 | -29.354 | 48.253 |  -28.53 | 224.75406900210226 |  -58.41379734580769 |           95 |  1.1995599430226274 |   23 |        0.5 | S230830b | 17001 |  1.1995599430226274 |    g,r |   6,6 | 300,300 |     1,1 | 03:14:53 | -28:56:34 |             88.32 | 2023-08-30T09:25:48.053 |   73.68 |     False |                0.5 |
| 97f43ee056444ffabc0f8310243fb354 | 27.024 | -35.286 | 27.526 | -34.873 | 27.531 | -35.697 | 26.517 | -35.697 | 26.522 | -34.873 | 250.42248491466066 |  -75.41904581842552 |           19 |  1.1927681912455013 |   24 |        0.5 | S230830b | 13898 |  1.1927681912455013 |    g,r |   6,6 | 300,300 |     1,1 | 01:48:05 | -35:17:09 |             85.36 | 2023-08-30T07:59:00.533 |   54.87 |     False | 0.6333333333333333 |
| eddb29f05ab64d9f8e06b5b975b579df | 40.299 |  -28.15 | 40.764 | -27.737 | 40.768 | -28.561 | 39.829 | -28.561 | 39.833 | -27.737 |  221.7538807882651 |  -65.72205779731864 |           21 |  1.1912387940475522 |   25 |        0.5 | S230830b | 17391 |  1.1912387940475522 |    g,r |   6,6 | 300,300 |     1,1 | 02:41:11 | -28:08:59 |             87.52 | 2023-08-30T08:52:06.533 |   66.53 |     False | 0.5333333333333333 |
| f8abf5f2603a423e8d8c785d9271de3c |  29.92 | -35.286 | 30.422 | -34.873 | 30.427 | -35.697 | 29.412 | -35.697 | 29.417 | -34.873 | 246.39503388561042 |  -73.31817954534684 |           18 |  1.1869423960429162 |   26 |        0.5 | S230830b | 13901 |  1.1869423960429162 |    g,r |   6,6 | 300,300 |     1,1 | 01:59:40 | -35:17:09 |             85.36 | 2023-08-30T08:10:35.573 |   57.23 |     False | 0.6333333333333333 |
| edff51558ddd4c0797cf4248fbc5d635 | 31.596 | -34.493 | 32.093 |  -34.08 | 32.098 | -34.904 | 31.093 | -34.904 | 31.098 |  -34.08 | 242.15655018499058 |  -72.34084774746488 |           13 |  1.1658710760548885 |   27 |        0.5 | S230830b | 14276 |  1.1658710760548885 |    g,r |   6,6 | 300,300 |     1,1 | 02:06:23 | -34:29:34 |             86.15 | 2023-08-30T08:17:17.813 |   58.61 |     False |                0.6 |
| f9cd30c631d34bd4858e3eaece88c472 | 37.212 | -24.185 | 37.662 | -23.772 | 37.665 | -24.596 | 36.758 | -24.596 | 36.761 | -23.772 |  210.7489920292583 |  -67.88770589797484 |            9 |  1.1442279244474218 |   28 |        0.5 | S230830b | 19427 |  1.1442279244474218 |    g,r |   6,6 | 300,300 |     1,1 | 02:28:50 | -24:11:05 |             83.55 | 2023-08-30T08:39:45.653 |   64.39 |     False | 0.5333333333333333 |
| dd91dadb1145402da3204b2417010edc | 38.466 | -36.872 | 38.978 | -36.459 | 38.984 | -37.283 | 37.948 | -37.283 | 37.954 | -36.459 | 243.60606366897724 |   -66.2979129689412 |           19 |  1.1313681631424157 |   29 |        0.5 | S230830b | 13175 |  1.1313681631424157 |    g,r |   6,6 | 300,300 |     1,1 | 02:33:51 | -36:52:19 |             83.76 | 2023-08-30T08:44:46.613 |    64.1 |     False | 0.5666666666666667 |
